chrom:genomepos	wtdmso	mtdmso
chr12:6967977-mod	2	5
chr12:6967977-unmod	36	41
chr12:6969544-mod	2	1
chr12:6969544-unmod	31	38
chr12:6970225-mod	5	5
chr12:6970225-unmod	29	34
chr12:6970523-mod	6	5
chr12:6970523-unmod	24	34
chr12:6970532-mod	4	9
chr12:6970532-unmod	27	31
chr12:6970573-mod	7	2
chr12:6970573-unmod	18	19
chr12:6970639-mod	5	3
chr12:6970639-unmod	9	15
chr12:89348234-mod	2	1
chr12:89348234-unmod	9	9
chr12:89348885-mod	4	6
chr12:89348885-unmod	17	4
chr12:89349054-mod	4	3
chr12:89349054-unmod	6	7
chr12:95861285-mod	3	3
chr12:95861285-unmod	7	13
chr12:96000922-mod	1	1
chr12:96000922-unmod	11	11
chr12:96001062-mod	3	2
chr12:96001062-unmod	7	12
chr12:96002994-mod	3	3
chr12:96002994-unmod	8	11
chr12:98594012-mod	13	17
chr12:98594012-unmod	87	101
chr12:98594060-mod	3	3
chr12:98594060-unmod	100	122
chr12:98597859-mod	6	4
chr12:98597859-unmod	93	104
chr12:98597974-mod	26	35
chr12:98597974-unmod	88	86
chr12:98601267-mod	1	1
chr12:98601267-unmod	123	128
chr12:98601380-mod	18	26
chr12:98601380-unmod	115	117
chr12:98601414-mod	38	25
chr12:98601414-unmod	97	100
chr12:98601439-mod	3	7
chr12:98601439-unmod	141	144
chr12:98601519-mod	3	1
chr12:98601519-unmod	142	156
chr12:98601548-mod	87	100
chr12:98601548-unmod	51	48
chr12:98601592-mod	14	10
chr12:98601592-unmod	135	142
chr12:98601607-mod	3	1
chr12:98601607-unmod	120	127
chr12:98601692-mod	1	3
chr12:98601692-unmod	80	80
chr13:113306580-mod	2	4
chr13:113306580-unmod	8	8
chr13:113309655-mod	1	2
chr13:113309655-unmod	10	15
chr13:113309709-mod	7	6
chr13:113309709-unmod	13	12
chr13:113309820-mod	2	3
chr13:113309820-unmod	21	15
chr13:113310731-mod	8	4
chr13:113310731-unmod	17	14
chr13:113319481-mod	6	2
chr13:113319481-unmod	19	15
chr13:113319627-mod	4	5
chr13:113319627-unmod	23	12
chr13:113320416-mod	2	4
chr13:113320416-unmod	23	14
chr13:113322610-mod	7	2
chr13:113322610-unmod	34	18
chr13:113322631-mod	2	3
chr13:113322631-unmod	38	17
chr13:113323029-mod	1	1
chr13:113323029-unmod	34	19
chr13:113323079-mod	10	3
chr13:113323079-unmod	36	21
chr13:20187841-mod	25	6
chr13:20187841-unmod	49	7
chr13:20187846-mod	19	1
chr13:20187846-unmod	50	13
chr13:20187901-mod	10	1
chr13:20187901-unmod	52	14
chr13:20187925-mod	1	1
chr13:20187925-unmod	64	14
chr13:20187986-mod	12	2
chr13:20187986-unmod	60	14
chr13:20188019-mod	4	2
chr13:20188019-unmod	58	15
chr13:20188051-mod	16	2
chr13:20188051-unmod	50	14
chr13:20188370-mod	5	2
chr13:20188370-unmod	62	14
chr13:20188465-mod	15	4
chr13:20188465-unmod	53	11
chr13:20188530-mod	12	2
chr13:20188530-unmod	44	12
chr13:20188560-mod	6	3
chr13:20188560-unmod	21	7
chr13:20189016-mod	35	10
chr13:20189016-unmod	15	2
chr13:21146825-mod	3	7
chr13:21146825-unmod	44	21
chr13:21147225-mod	3	3
chr13:21147225-unmod	36	10
chr13:21147280-mod	1	1
chr13:21147280-unmod	40	24
chr13:21177288-mod	18	5
chr13:21177288-unmod	18	5
chr13:21177296-mod	15	6
chr13:21177296-unmod	22	4
chr13:27253783-mod	170	155
chr13:27253783-unmod	229	196
chr13:27255292-mod	22	16
chr13:27255292-unmod	404	372
chr13:27256468-mod	29	20
chr13:27256468-unmod	350	330
chr13:27256497-mod	13	10
chr13:27256497-unmod	406	372
chr13:27256550-mod	26	31
chr13:27256550-unmod	190	186
chr13:27621930-mod	1	1
chr13:27621930-unmod	45	49
chr13:27622920-mod	2	2
chr13:27622920-unmod	47	48
chr13:27622958-mod	8	11
chr13:27622958-unmod	37	41
chr13:27622968-mod	4	6
chr13:27622968-unmod	46	48
chr13:27623032-mod	2	3
chr13:27623032-unmod	43	48
chr13:27623103-mod	14	27
chr13:27623103-unmod	33	29
chr13:27623206-mod	34	34
chr13:27623206-unmod	20	26
chr13:27623274-mod	33	32
chr13:27623274-unmod	13	13
chr13:27623311-mod	11	4
chr13:27623311-unmod	40	51
chr13:27623378-mod	4	4
chr13:27623378-unmod	46	54
chr13:27623409-mod	1	1
chr13:27623409-unmod	49	48
chr13:28662459-mod	4	3
chr13:28662459-unmod	21	10
chr13:28664529-mod	8	2
chr13:28664529-unmod	21	12
chr13:28672404-mod	1	2
chr13:28672404-unmod	28	10
chr13:45336883-mod	83	81
chr13:45336883-unmod	56	29
chr13:45336915-mod	25	17
chr13:45336915-unmod	177	152
chr13:45336989-mod	17	14
chr13:45336989-unmod	179	149
chr13:45337045-mod	106	89
chr13:45337045-unmod	71	68
chr13:45337057-mod	7	6
chr13:45337057-unmod	178	141
chr13:45337072-mod	6	8
chr13:45337072-unmod	197	158
chr13:45337180-mod	28	26
chr13:45337180-unmod	278	228
chr13:45337219-mod	17	5
chr13:45337219-unmod	591	458
chr13:45337260-mod	238	190
chr13:45337260-unmod	397	307
chr13:45337293-mod	339	313
chr13:45337293-unmod	292	186
chr13:45337302-mod	11	10
chr13:45337302-unmod	578	467
chr13:45337309-mod	124	115
chr13:45337309-unmod	443	333
chr13:45337343-mod	122	91
chr13:45337343-unmod	554	441
chr13:45338706-mod	17	21
chr13:45338706-unmod	658	510
chr13:45338726-mod	26	15
chr13:45338726-unmod	613	479
chr13:45338759-mod	2	3
chr13:45338759-unmod	583	454
chr13:45339503-mod	3	4
chr13:45339503-unmod	633	488
chr13:45339535-mod	4	5
chr13:45339535-unmod	669	529
chr13:45339549-mod	11	11
chr13:45339549-unmod	591	472
chr13:45339559-mod	1	1
chr13:45339559-unmod	666	529
chr13:45339580-mod	43	37
chr13:45339580-unmod	586	443
chr13:45339589-mod	5	2
chr13:45339589-unmod	594	478
chr13:45340062-mod	93	82
chr13:45340062-unmod	529	412
chr13:45340152-mod	13	12
chr13:45340152-unmod	594	468
chr13:45340161-mod	1	1
chr13:45340161-unmod	643	506
chr13:45340171-mod	12	11
chr13:45340171-unmod	611	476
chr13:45341052-mod	57	46
chr13:45341052-unmod	437	361
chr13:48233238-mod	3	1
chr13:48233238-unmod	29	25
chr13:48233469-mod	16	22
chr13:48233469-unmod	23	18
chr13:48253808-mod	1	2
chr13:48253808-unmod	44	44
chr13:48256372-mod	5	4
chr13:48256372-unmod	45	46
chr13:48258180-mod	12	5
chr13:48258180-unmod	38	42
chr13:48258802-mod	4	6
chr13:48258802-unmod	41	33
chr13:48258863-mod	1	1
chr13:48258863-unmod	52	48
chr13:48261224-mod	9	10
chr13:48261224-unmod	31	31
chr13:48261373-mod	1	1
chr13:48261373-unmod	47	44
chr13:48261432-mod	10	2
chr13:48261432-unmod	21	13
chr13:48261598-mod	3	2
chr13:48261598-unmod	31	13
chr13:48261803-mod	1	1
chr13:48261803-unmod	33	15
chr13:73077237-mod	2	1
chr13:73077237-unmod	10	9
chr13:75526505-mod	6	6
chr13:75526505-unmod	36	33
chr13:75526541-mod	6	1
chr13:75526541-unmod	8	13
chr13:75530245-mod	2	2
chr13:75530245-unmod	32	39
chr13:98019655-mod	1	1
chr13:98019655-unmod	9	9
chr13:98021753-mod	1	3
chr13:98021753-unmod	9	8
chr13:99562753-mod	2	1
chr13:99562753-unmod	8	11
chr14:102081307-mod	2	1
chr14:102081307-unmod	9	15
chr14:104759569-mod	6	11
chr14:104759569-unmod	4	10
chr14:104769517-mod	2	2
chr14:104769517-unmod	10	12
chr14:104769662-mod	3	2
chr14:104769662-unmod	9	13
chr14:104769738-mod	1	1
chr14:104769738-unmod	10	11
chr14:104770054-mod	7	3
chr14:104770054-unmod	3	11
chr14:104770328-mod	3	7
chr14:104770328-unmod	7	6
chr14:105250730-mod	3	2
chr14:105250730-unmod	7	10
chr14:105250801-mod	2	1
chr14:105250801-unmod	8	11
chr14:105479591-mod	3	1
chr14:105479591-unmod	9	10
chr14:105479627-mod	3	2
chr14:105479627-unmod	9	18
chr14:21210852-mod	3	2
chr14:21210852-unmod	28	10
chr14:21210966-mod	6	2
chr14:21210966-unmod	36	29
chr14:21211229-mod	1	2
chr14:21211229-unmod	39	30
chr14:21211448-mod	2	2
chr14:21211448-unmod	10	19
chr14:22771310-mod	1	2
chr14:22771310-unmod	9	16
chr14:22771557-mod	2	5
chr14:22771557-unmod	8	14
chr14:22771603-mod	5	9
chr14:22771603-unmod	5	7
chr14:22771621-mod	3	6
chr14:22771621-unmod	7	11
chr14:22771654-mod	8	6
chr14:22771654-unmod	3	12
chr14:22877089-mod	3	3
chr14:22877089-unmod	23	8
chr14:22877394-mod	3	1
chr14:22877394-unmod	22	13
chr14:22877415-mod	1	3
chr14:22877415-unmod	32	15
chr14:22877531-mod	2	2
chr14:22877531-unmod	29	13
chr14:22877647-mod	2	1
chr14:22877647-unmod	34	18
chr14:22877847-mod	8	5
chr14:22877847-unmod	16	9
chr14:23026023-mod	3	2
chr14:23026023-unmod	8	9
chr14:23026050-mod	8	4
chr14:23026050-unmod	2	6
chr14:23026134-mod	2	1
chr14:23026134-unmod	9	9
chr14:24137720-mod	11	4
chr14:24137720-unmod	18	8
chr14:24138372-mod	2	1
chr14:24138372-unmod	30	11
chr14:24138763-mod	3	1
chr14:24138763-unmod	32	11
chr14:24217055-mod	1	1
chr14:24217055-unmod	10	9
chr14:24218395-mod	9	1
chr14:24218395-unmod	19	10
chr14:35308940-mod	4	1
chr14:35308940-unmod	8	15
chr14:35308958-mod	1	2
chr14:35308958-unmod	12	15
chr14:35310784-mod	1	3
chr14:35310784-unmod	11	14
chr14:35314360-mod	4	1
chr14:35314360-unmod	9	16
chr14:35401691-mod	1	1
chr14:35401691-unmod	25	12
chr14:35401695-mod	15	3
chr14:35401695-unmod	15	12
chr14:35401726-mod	5	1
chr14:35401726-unmod	24	16
chr14:35401789-mod	3	3
chr14:35401789-unmod	13	12
chr14:35401832-mod	13	6
chr14:35401832-unmod	14	12
chr14:35401986-mod	13	15
chr14:35401986-unmod	5	2
chr14:35402430-mod	1	1
chr14:35402430-unmod	30	18
chr14:35402644-mod	1	2
chr14:35402644-unmod	27	15
chr14:35403206-mod	2	1
chr14:35403206-unmod	11	13
chr14:35403702-mod	1	2
chr14:35403702-unmod	16	15
chr14:35404540-mod	1	1
chr14:35404540-unmod	13	14
chr14:49583590-mod	2	2
chr14:49583590-unmod	56	246
chr14:49583670-mod	18	69
chr14:49583670-unmod	49	217
chr14:49618782-mod	3	5
chr14:49618782-unmod	32	22
chr14:49618828-mod	14	15
chr14:49618828-unmod	21	12
chr14:49618877-mod	1	7
chr14:49618877-unmod	32	22
chr14:49619034-mod	6	6
chr14:49619034-unmod	15	17
chr14:54427365-mod	1	1
chr14:54427365-unmod	24	14
chr14:54427461-mod	3	2
chr14:54427461-unmod	21	12
chr14:54427497-mod	4	3
chr14:54427497-unmod	21	10
chr14:54427533-mod	7	2
chr14:54427533-unmod	18	11
chr14:54427551-mod	2	2
chr14:54427551-unmod	13	12
chr14:54427644-mod	3	3
chr14:54427644-unmod	9	7
chr14:54427811-mod	1	1
chr14:54427811-unmod	24	11
chr14:54430391-mod	1	1
chr14:54430391-unmod	23	10
chr14:55138108-mod	3	9
chr14:55138108-unmod	32	34
chr14:55138304-mod	6	6
chr14:55138304-unmod	29	30
chr14:55142648-mod	1	1
chr14:55142648-unmod	34	44
chr14:55142690-mod	7	6
chr14:55142690-unmod	31	40
chr14:55145132-mod	2	4
chr14:55145132-unmod	36	42
chr14:55145137-mod	1	1
chr14:55145137-unmod	35	44
chr14:55145198-mod	2	3
chr14:55145198-unmod	35	41
chr14:55145216-mod	3	5
chr14:55145216-unmod	32	33
chr14:55145233-mod	3	1
chr14:55145233-unmod	31	40
chr14:61747661-mod	7	1
chr14:61747661-unmod	17	15
chr14:61747898-mod	3	2
chr14:61747898-unmod	27	15
chr14:61748212-mod	8	5
chr14:61748212-unmod	34	21
chr14:68787826-mod	17	6
chr14:68787826-unmod	50	17
chr14:68787894-mod	1	1
chr14:68787894-unmod	51	18
chr14:68787916-mod	7	5
chr14:68787916-unmod	38	14
chr14:68787989-mod	12	5
chr14:68787989-unmod	37	11
chr14:68788016-mod	7	5
chr14:68788016-unmod	42	14
chr14:68788060-mod	31	12
chr14:68788060-unmod	17	6
chr14:68788103-mod	8	2
chr14:68788103-unmod	31	15
chr14:68788168-mod	4	2
chr14:68788168-unmod	32	14
chr14:68788441-mod	1	2
chr14:68788441-unmod	27	11
chr14:68788689-mod	2	3
chr14:68788689-unmod	26	12
chr14:68788699-mod	4	2
chr14:68788699-unmod	22	11
chr14:68788756-mod	7	5
chr14:68788756-unmod	11	10
chr14:68789134-mod	1	1
chr14:68789134-unmod	16	11
chr14:68789345-mod	5	2
chr14:68789345-unmod	11	8
chr14:68789515-mod	2	2
chr14:68789515-unmod	13	8
chr14:68874645-mod	3	5
chr14:68874645-unmod	74	63
chr14:68874704-mod	28	35
chr14:68874704-unmod	46	29
chr14:68874865-mod	2	2
chr14:68874865-unmod	63	63
chr14:68874904-mod	8	12
chr14:68874904-unmod	55	54
chr14:68875015-mod	9	6
chr14:68875015-unmod	51	58
chr14:68877085-mod	2	1
chr14:68877085-unmod	57	52
chr14:68877143-mod	2	7
chr14:68877143-unmod	52	47
chr14:68877160-mod	1	4
chr14:68877160-unmod	58	56
chr14:68877179-mod	6	10
chr14:68877179-unmod	49	51
chr14:68877202-mod	2	1
chr14:68877202-unmod	49	55
chr14:68880062-mod	4	7
chr14:68880062-unmod	33	43
chr14:68880945-mod	6	3
chr14:68880945-unmod	38	39
chr14:68882566-mod	1	1
chr14:68882566-unmod	28	34
chr14:68882876-mod	2	1
chr14:68882876-unmod	22	29
chr14:68883048-mod	1	5
chr14:68883048-unmod	28	25
chr14:68883052-mod	8	12
chr14:68883052-unmod	23	18
chr14:68884201-mod	2	1
chr14:68884201-unmod	19	28
chr14:68884210-mod	2	2
chr14:68884210-unmod	18	27
chr14:68884304-mod	1	1
chr14:68884304-unmod	13	25
chr14:68884817-mod	3	5
chr14:68884817-unmod	10	9
chr14:68884826-mod	1	1
chr14:68884826-unmod	18	28
chr14:68885463-mod	2	2
chr14:68885463-unmod	12	17
chr14:68890144-mod	3	1
chr14:68890144-unmod	10	26
chr14:68892227-mod	2	1
chr14:68892227-unmod	11	12
chr14:68892242-mod	2	2
chr14:68892242-unmod	10	12
chr14:68902520-mod	1	2
chr14:68902520-unmod	10	14
chr14:68902550-mod	1	3
chr14:68902550-unmod	12	11
chr14:68909966-mod	3	5
chr14:68909966-unmod	10	9
chr14:68909997-mod	5	7
chr14:68909997-unmod	5	5
chr14:68925604-mod	5	1
chr14:68925604-unmod	7	10
chr14:68925616-mod	2	2
chr14:68925616-unmod	10	10
chr14:74479961-mod	1	4
chr14:74479961-unmod	28	40
chr14:74480129-mod	1	1
chr14:74480129-unmod	35	50
chr14:74480186-mod	3	6
chr14:74480186-unmod	41	50
chr14:74480773-mod	2	4
chr14:74480773-unmod	35	40
chr14:74484484-mod	4	7
chr14:74484484-unmod	40	55
chr14:74486362-mod	9	8
chr14:74486362-unmod	31	46
chr14:74493197-mod	1	6
chr14:74493197-unmod	39	50
chr14:74493214-mod	13	16
chr14:74493214-unmod	29	43
chr14:75134309-mod	11	8
chr14:75134309-unmod	12	10
chr14:75134333-mod	2	2
chr14:75134333-unmod	10	18
chr14:75134480-mod	1	1
chr14:75134480-unmod	9	17
chr14:75134558-mod	2	3
chr14:75134558-unmod	8	16
chr14:75134700-mod	6	9
chr14:75134700-unmod	5	10
chr14:75134762-mod	6	9
chr14:75134762-unmod	19	10
chr14:75134838-mod	4	8
chr14:75134838-unmod	7	11
chr14:75281755-mod	1	1
chr14:75281755-unmod	9	11
chr14:75281838-mod	2	2
chr14:75281838-unmod	8	10
chr14:77708195-mod	1	4
chr14:77708195-unmod	16	18
chr14:77710850-mod	7	3
chr14:77710850-unmod	12	17
chr14:77717590-mod	1	1
chr14:77717590-unmod	9	9
chr14:90272410-mod	3	3
chr14:90272410-unmod	7	13
chr14:90401351-mod	1	2
chr14:90401351-unmod	9	17
chr14:90404407-mod	1	3
chr14:90404407-unmod	11	21
chr14:90404705-mod	1	5
chr14:90404705-unmod	9	18
chr14:94127840-mod	2	3
chr14:94127840-unmod	9	17
chr15:100915755-mod	1	2
chr15:100915755-unmod	19	33
chr15:100915959-mod	4	1
chr15:100915959-unmod	9	33
chr15:100916119-mod	3	4
chr15:100916119-unmod	11	49
chr15:100916238-mod	3	4
chr15:100916238-unmod	26	49
chr15:22869506-mod	2	1
chr15:22869506-unmod	11	27
chr15:22869880-mod	1	2
chr15:22869880-unmod	9	12
chr15:22869952-mod	3	4
chr15:22869952-unmod	10	17
chr15:22874564-mod	1	1
chr15:22874564-unmod	9	12
chr15:34341778-mod	1	4
chr15:34341778-unmod	22	15
chr15:34341897-mod	5	10
chr15:34341897-unmod	6	5
chr15:34341906-mod	1	1
chr15:34341906-unmod	23	19
chr15:34341955-mod	2	4
chr15:34341955-unmod	22	16
chr15:40038382-mod	3	3
chr15:40038382-unmod	22	27
chr15:40844708-mod	2	5
chr15:40844708-unmod	8	6
chr15:40853231-mod	1	1
chr15:40853231-unmod	14	12
chr15:40853511-mod	6	2
chr15:40853511-unmod	10	12
chr15:40853520-mod	1	1
chr15:40853520-unmod	15	14
chr15:40853567-mod	2	2
chr15:40853567-unmod	16	13
chr15:40854683-mod	4	2
chr15:40854683-unmod	9	17
chr15:40855967-mod	14	8
chr15:40855967-unmod	18	9
chr15:40856011-mod	1	1
chr15:40856011-unmod	18	19
chr15:40856931-mod	4	3
chr15:40856931-unmod	25	18
chr15:40857045-mod	13	13
chr15:40857045-unmod	31	23
chr15:40857053-mod	3	6
chr15:40857053-unmod	32	26
chr15:40857058-mod	35	17
chr15:40857058-unmod	6	6
chr15:40857198-mod	3	3
chr15:40857198-unmod	33	20
chr15:40857207-mod	10	8
chr15:40857207-unmod	13	4
chr15:40857312-mod	1	1
chr15:40857312-unmod	48	36
chr15:40857382-mod	4	2
chr15:40857382-unmod	6	9
chr15:40857552-mod	1	2
chr15:40857552-unmod	47	34
chr15:43746625-mod	9	9
chr15:43746625-unmod	29	27
chr15:43753841-mod	1	1
chr15:43753841-unmod	40	34
chr15:43756759-mod	2	3
chr15:43756759-unmod	45	33
chr15:43761457-mod	11	4
chr15:43761457-unmod	36	33
chr15:43761479-mod	13	11
chr15:43761479-unmod	34	23
chr15:43763145-mod	2	3
chr15:43763145-unmod	41	34
chr15:43765496-mod	6	4
chr15:43765496-unmod	28	28
chr15:43765501-mod	2	2
chr15:43765501-unmod	45	34
chr15:43765528-mod	1	1
chr15:43765528-unmod	46	36
chr15:43765915-mod	1	1
chr15:43765915-unmod	47	48
chr15:43765942-mod	3	3
chr15:43765942-unmod	44	31
chr15:43765969-mod	1	4
chr15:43765969-unmod	46	39
chr15:43766811-mod	9	10
chr15:43766811-unmod	44	44
chr15:43766869-mod	23	21
chr15:43766869-unmod	40	37
chr15:43768563-mod	35	18
chr15:43768563-unmod	47	30
chr15:43769611-mod	1	1
chr15:43769611-unmod	85	69
chr15:43769633-mod	4	2
chr15:43769633-unmod	81	71
chr15:43771248-mod	45	35
chr15:43771248-unmod	55	43
chr15:43771271-mod	1	1
chr15:43771271-unmod	95	77
chr15:43771284-mod	8	10
chr15:43771284-unmod	104	72
chr15:43771290-mod	8	7
chr15:43771290-unmod	103	72
chr15:43771327-mod	6	7
chr15:43771327-unmod	99	73
chr15:43771368-mod	9	11
chr15:43771368-unmod	104	70
chr15:43771405-mod	10	4
chr15:43771405-unmod	87	72
chr15:43771511-mod	8	9
chr15:43771511-unmod	70	39
chr15:43771517-mod	18	8
chr15:43771517-unmod	74	69
chr15:43793711-mod	11	18
chr15:43793711-unmod	81	108
chr15:43793763-mod	6	10
chr15:43793763-unmod	82	103
chr15:44715527-mod	8	3
chr15:44715527-unmod	116	79
chr15:44715572-mod	2	2
chr15:44715572-unmod	117	82
chr15:44715590-mod	48	31
chr15:44715590-unmod	61	45
chr15:44715662-mod	32	18
chr15:44715662-unmod	102	69
chr15:44715670-mod	9	10
chr15:44715670-unmod	126	80
chr15:44716334-mod	1	1
chr15:44716334-unmod	136	92
chr15:44717730-mod	10	6
chr15:44717730-unmod	103	65
chr15:44717884-mod	21	13
chr15:44717884-unmod	125	87
chr15:44717996-mod	1	1
chr15:44717996-unmod	114	85
chr15:45669970-mod	1	1
chr15:45669970-unmod	9	10
chr15:45676206-mod	2	1
chr15:45676206-unmod	8	9
chr15:45691074-mod	4	2
chr15:45691074-unmod	6	11
chr15:45691117-mod	4	1
chr15:45691117-unmod	6	13
chr15:45691155-mod	2	2
chr15:45691155-unmod	18	13
chr15:45691185-mod	5	3
chr15:45691185-unmod	5	10
chr15:60347351-mod	15	13
chr15:60347351-unmod	149	210
chr15:60347393-mod	4	6
chr15:60347393-unmod	247	305
chr15:60347431-mod	68	87
chr15:60347431-unmod	171	215
chr15:60347563-mod	1	1
chr15:60347563-unmod	245	314
chr15:60347633-mod	8	21
chr15:60347633-unmod	239	297
chr15:60347684-mod	2	8
chr15:60347684-unmod	202	263
chr15:60351202-mod	14	18
chr15:60351202-unmod	230	286
chr15:60351235-mod	8	17
chr15:60351235-unmod	228	281
chr15:60351728-mod	23	37
chr15:60351728-unmod	174	225
chr15:60351785-mod	8	9
chr15:60351785-unmod	213	298
chr15:60352412-mod	2	10
chr15:60352412-unmod	203	242
chr15:60352442-mod	30	29
chr15:60352442-unmod	210	282
chr15:60354174-mod	63	101
chr15:60354174-unmod	146	172
chr15:60355949-mod	20	25
chr15:60355949-unmod	146	190
chr15:60355961-mod	11	12
chr15:60355961-unmod	99	142
chr15:60355973-mod	1	1
chr15:60355973-unmod	182	243
chr15:60355989-mod	4	7
chr15:60355989-unmod	189	265
chr15:60357187-mod	9	6
chr15:60357187-unmod	169	236
chr15:60357216-mod	16	16
chr15:60357216-unmod	167	233
chr15:60357226-mod	9	7
chr15:60357226-unmod	157	233
chr15:60360984-mod	1	2
chr15:60360984-unmod	147	215
chr15:60361051-mod	24	29
chr15:60361051-unmod	123	190
chr15:60364436-mod	16	7
chr15:60364436-unmod	133	211
chr15:60364490-mod	6	24
chr15:60364490-unmod	72	105
chr15:60382367-mod	9	10
chr15:60382367-unmod	137	203
chr15:60382394-mod	1	1
chr15:60382394-unmod	137	203
chr15:64155853-mod	12	12
chr15:64155853-unmod	36	22
chr15:64155886-mod	41	28
chr15:64155886-unmod	13	7
chr15:64155918-mod	6	3
chr15:64155918-unmod	53	16
chr15:64155995-mod	6	2
chr15:64155995-unmod	54	21
chr15:64156012-mod	14	11
chr15:64156012-unmod	57	26
chr15:64156777-mod	4	1
chr15:64156777-unmod	47	34
chr15:64156865-mod	3	2
chr15:64156865-unmod	67	35
chr15:64156872-mod	3	3
chr15:64156872-unmod	64	30
chr15:64160129-mod	3	2
chr15:64160129-unmod	62	36
chr15:64160150-mod	6	5
chr15:64160150-unmod	62	30
chr15:64160177-mod	1	2
chr15:64160177-unmod	69	39
chr15:64162087-mod	1	2
chr15:64162087-unmod	63	36
chr15:64162143-mod	6	1
chr15:64162143-unmod	64	39
chr15:64162899-mod	3	3
chr15:64162899-unmod	56	34
chr15:65877848-mod	2	3
chr15:65877848-unmod	10	14
chr15:65887832-mod	1	2
chr15:65887832-unmod	11	15
chr15:66499343-mod	8	8
chr15:66499343-unmod	263	284
chr15:66499363-mod	90	99
chr15:66499363-unmod	207	199
chr15:66499405-mod	29	44
chr15:66499405-unmod	338	353
chr15:66499472-mod	5	7
chr15:66499472-unmod	356	384
chr15:66500080-mod	29	34
chr15:66500080-unmod	306	335
chr15:66500093-mod	2	1
chr15:66500093-unmod	347	376
chr15:66500131-mod	2	3
chr15:66500131-unmod	340	372
chr15:66500143-mod	56	52
chr15:66500143-unmod	296	321
chr15:66500954-mod	20	20
chr15:66500954-unmod	292	316
chr15:66501024-mod	62	80
chr15:66501024-unmod	243	251
chr15:66501074-mod	58	69
chr15:66501074-unmod	258	278
chr15:66501814-mod	2	5
chr15:66501814-unmod	250	291
chr15:66501886-mod	120	124
chr15:66501886-unmod	173	206
chr15:66502685-mod	116	130
chr15:66502685-unmod	158	186
chr15:66503058-mod	2	1
chr15:66503058-unmod	263	308
chr15:66503089-mod	19	18
chr15:66503089-unmod	233	284
chr15:66503155-mod	1	2
chr15:66503155-unmod	199	223
chr15:66503385-mod	102	113
chr15:66503385-unmod	113	145
chr15:66503419-mod	36	40
chr15:66503419-unmod	205	257
chr15:69453011-mod	80	62
chr15:69453011-unmod	258	276
chr15:69455222-mod	7	1
chr15:69455222-unmod	275	313
chr15:69455481-mod	8	12
chr15:69455481-unmod	377	397
chr15:69455502-mod	21	17
chr15:69455502-unmod	338	354
chr15:69455519-mod	1	1
chr15:69455519-unmod	345	382
chr15:69455540-mod	56	55
chr15:69455540-unmod	93	119
chr15:72199129-mod	1	1
chr15:72199129-unmod	171	212
chr15:72199305-mod	37	36
chr15:72199305-unmod	159	187
chr15:72199366-mod	10	9
chr15:72199366-unmod	186	226
chr15:72199401-mod	54	71
chr15:72199401-unmod	130	145
chr15:72199467-mod	10	12
chr15:72199467-unmod	93	105
chr15:72199499-mod	3	1
chr15:72199499-unmod	159	197
chr15:72199531-mod	18	27
chr15:72199531-unmod	156	177
chr15:72199569-mod	69	94
chr15:72199569-unmod	104	114
chr15:72199645-mod	9	14
chr15:72199645-unmod	113	146
chr15:72199708-mod	2	6
chr15:72199708-unmod	155	189
chr15:72200490-mod	12	21
chr15:72200490-unmod	146	177
chr15:72200502-mod	5	10
chr15:72200502-unmod	130	165
chr15:72200535-mod	5	6
chr15:72200535-unmod	124	157
chr15:72200587-mod	2	1
chr15:72200587-unmod	147	182
chr15:72202569-mod	30	36
chr15:72202569-unmod	101	125
chr15:72206761-mod	3	11
chr15:72206761-unmod	115	157
chr15:72208665-mod	13	15
chr15:72208665-unmod	74	111
chr15:72208782-mod	3	7
chr15:72208782-unmod	52	86
chr15:72208806-mod	21	26
chr15:72208806-unmod	38	63
chr15:72208827-mod	9	17
chr15:72208827-unmod	51	79
chr15:72209749-mod	3	7
chr15:72209749-unmod	42	79
chr15:72209758-mod	7	6
chr15:72209758-unmod	33	72
chr15:72209773-mod	4	9
chr15:72209773-unmod	36	65
chr15:72210363-mod	24	37
chr15:72210363-unmod	20	46
chr15:72210376-mod	4	10
chr15:72210376-unmod	36	64
chr15:72210422-mod	1	3
chr15:72210422-unmod	37	73
chr15:72217416-mod	8	15
chr15:72217416-unmod	25	49
chr15:72217430-mod	14	17
chr15:72217430-unmod	28	62
chr15:72218966-mod	2	5
chr15:72218966-unmod	35	57
chr15:72218996-mod	1	1
chr15:72218996-unmod	34	64
chr15:72219054-mod	1	1
chr15:72219054-unmod	34	60
chr15:72219069-mod	7	6
chr15:72219069-unmod	27	60
chr15:72219108-mod	6	6
chr15:72219108-unmod	29	57
chr15:73714201-mod	4	1
chr15:73714201-unmod	16	9
chr15:73714274-mod	2	1
chr15:73714274-unmod	9	9
chr15:73714433-mod	5	8
chr15:73714433-unmod	7	2
chr15:74920280-mod	15	4
chr15:74920280-unmod	13	7
chr15:74920307-mod	6	7
chr15:74920307-unmod	34	25
chr15:74920313-mod	2	1
chr15:74920313-unmod	38	35
chr15:74920397-mod	10	11
chr15:74920397-unmod	26	11
chr15:74923666-mod	1	1
chr15:74923666-unmod	40	30
chr15:74923677-mod	6	7
chr15:74923677-unmod	34	23
chr15:74923701-mod	13	11
chr15:74923701-unmod	29	26
chr15:74923722-mod	2	1
