chrom:genomepos	wtdmso	wtcsc
chr12:52241544-mod	8	53
chr12:52241544-unmod	118	338
chr12:52241630-mod	10	36
chr12:52241630-unmod	157	392
chr12:52243017-mod	5	29
chr12:52243017-unmod	154	386
chr12:52243087-mod	44	139
chr12:52243087-unmod	138	323
chr12:52243132-mod	22	60
chr12:52243132-unmod	173	422
chr12:52245557-mod	57	145
chr12:52245557-unmod	186	399
chr12:52245583-mod	4	11
chr12:52245583-unmod	221	487
chr12:52248640-mod	9	11
chr12:52248640-unmod	227	530
chr12:52248652-mod	67	140
chr12:52248652-unmod	143	324
chr12:52248724-mod	7	29
chr12:52248724-unmod	169	371
chr12:52248845-mod	4	16
chr12:52248845-unmod	235	507
chr12:52248853-mod	35	70
chr12:52248853-unmod	192	430
chr12:52487268-mod	92	150
chr12:52487268-unmod	297	340
chr12:52487304-mod	43	71
chr12:52487304-unmod	354	422
chr12:52487321-mod	24	63
chr12:52487321-unmod	385	439
chr12:52487329-mod	10	18
chr12:52487329-unmod	402	489
chr12:52487361-mod	17	45
chr12:52487361-unmod	382	426
chr12:52487409-mod	11	10
chr12:52487409-unmod	365	468
chr12:52488081-mod	13	18
chr12:52488081-unmod	296	358
chr12:52488432-mod	34	54
chr12:52488432-unmod	270	361
chr12:52490038-mod	1	4
chr12:52490038-unmod	145	311
chr12:52490653-mod	2	4
chr12:52490653-unmod	108	277
chr12:52490659-mod	3	26
chr12:52490659-unmod	101	254
chr12:52490677-mod	3	20
chr12:52490677-unmod	86	222
chr12:52490701-mod	4	4
chr12:52490701-unmod	84	248
chr12:52490714-mod	1	8
chr12:52490714-unmod	97	268
chr12:52490903-mod	2	1
chr12:52490903-unmod	92	265
chr12:52490920-mod	43	157
chr12:52490920-unmod	54	107
chr12:52490930-mod	2	19
chr12:52490930-unmod	98	247
chr12:52491122-mod	11	55
chr12:52491122-unmod	87	211
chr12:52491524-mod	3	1
chr12:52491524-unmod	93	256
chr12:52491533-mod	6	19
chr12:52491533-unmod	84	230
chr12:52491545-mod	17	46
chr12:52491545-unmod	77	208
chr12:52491569-mod	4	19
chr12:52491569-unmod	86	228
chr12:52491599-mod	5	18
chr12:52491599-unmod	77	224
chr12:52491650-mod	3	19
chr12:52491650-unmod	71	211
chr12:52491663-mod	2	6
chr12:52491663-unmod	69	221
chr12:52491690-mod	3	15
chr12:52491690-unmod	55	196
chr12:52491713-mod	2	18
chr12:52491713-unmod	63	211
chr12:52492683-mod	2	6
chr12:52492683-unmod	59	207
chr12:52492693-mod	6	25
chr12:52492693-unmod	38	108
chr12:52492752-mod	4	37
chr12:52492752-unmod	53	152
chr12:52493190-mod	3	11
chr12:52493190-unmod	48	146
chr12:52514616-mod	16	27
chr12:52514616-unmod	280	197
chr12:52514689-mod	6	4
chr12:52514689-unmod	138	108
chr12:52514697-mod	12	31
chr12:52514697-unmod	394	270
chr12:52514812-mod	54	32
chr12:52514812-unmod	367	274
chr12:52514829-mod	3	2
chr12:52514829-unmod	413	305
chr12:52514938-mod	36	26
chr12:52514938-unmod	330	251
chr12:52515810-mod	7	10
chr12:52515810-unmod	246	229
chr12:52515831-mod	10	10
chr12:52515831-unmod	250	251
chr12:52516702-mod	43	67
chr12:52516702-unmod	195	180
chr12:52516741-mod	4	2
chr12:52516741-unmod	232	248
chr12:52517155-mod	36	53
chr12:52517155-unmod	148	182
chr12:52517191-mod	8	16
chr12:52517191-unmod	146	208
chr12:52517594-mod	3	5
chr12:52517594-unmod	135	203
chr12:52517680-mod	3	11
chr12:52517680-unmod	128	178
chr12:52517698-mod	8	4
chr12:52517698-unmod	95	153
chr12:52517722-mod	2	2
chr12:52517722-unmod	134	193
chr12:52517969-mod	10	20
chr12:52517969-unmod	124	175
chr12:52518948-mod	2	3
chr12:52518948-unmod	124	196
chr12:52518957-mod	1	7
chr12:52518957-unmod	124	191
chr12:52518969-mod	16	26
chr12:52518969-unmod	114	165
chr12:52518993-mod	4	18
chr12:52518993-unmod	125	177
chr12:52519023-mod	4	25
chr12:52519023-unmod	110	159
chr12:52519074-mod	8	12
chr12:52519074-unmod	99	169
chr12:52519087-mod	13	39
chr12:52519087-unmod	73	124
chr12:52519114-mod	3	12
chr12:52519114-unmod	90	158
chr12:52519125-mod	2	10
chr12:52519125-unmod	94	138
chr12:52519137-mod	4	10
chr12:52519137-unmod	106	176
chr12:52519776-mod	1	4
chr12:52519776-unmod	100	171
chr12:52519800-mod	7	11
chr12:52519800-unmod	96	158
chr12:52519845-mod	20	45
chr12:52519845-unmod	55	95
chr12:52520042-mod	16	43
chr12:52520042-unmod	89	136
chr12:52520305-mod	2	21
chr12:52520305-unmod	84	135
chr12:52897246-mod	1	2
chr12:52897246-unmod	145	237
chr12:52897276-mod	14	37
chr12:52897276-unmod	120	187
chr12:52897333-mod	3	4
chr12:52897333-unmod	151	245
chr12:52897340-mod	7	15
chr12:52897340-unmod	141	235
chr12:52897426-mod	45	83
chr12:52897426-unmod	105	152
chr12:52898498-mod	28	59
chr12:52898498-unmod	120	187
chr12:52898726-mod	4	3
chr12:52898726-unmod	128	216
chr12:52898783-mod	1	3
chr12:52898783-unmod	135	230
chr12:52899817-mod	7	19
chr12:52899817-unmod	105	187
chr12:52899823-mod	24	56
chr12:52899823-unmod	85	154
chr12:52899842-mod	6	19
chr12:52899842-unmod	88	169
chr12:52899859-mod	3	10
chr12:52899859-unmod	94	190
chr12:52899985-mod	1	5
chr12:52899985-unmod	76	159
chr12:52899991-mod	1	4
chr12:52899991-unmod	81	161
chr12:52900009-mod	6	7
chr12:52900009-unmod	72	154
chr12:52900033-mod	5	12
chr12:52900033-unmod	54	124
chr12:52900625-mod	1	6
chr12:52900625-unmod	68	139
chr12:52900660-mod	5	11
chr12:52900660-unmod	70	153
chr12:52901866-mod	1	2
chr12:52901866-unmod	65	138
chr12:52901875-mod	7	8
chr12:52901875-unmod	61	141
chr12:52901939-mod	2	7
chr12:52901939-unmod	64	133
chr12:52901986-mod	3	5
chr12:52901986-unmod	37	109
chr12:52902049-mod	1	5
chr12:52902049-unmod	50	120
chr12:52904739-mod	1	8
chr12:52904739-unmod	44	93
chr12:52904965-mod	4	12
chr12:52904965-unmod	32	81
chr12:52949459-mod	3	2
chr12:52949459-unmod	30	103
chr12:52949486-mod	3	13
chr12:52949486-unmod	29	97
chr12:52949532-mod	4	12
chr12:52949532-unmod	33	102
chr12:52949546-mod	1	8
chr12:52949546-unmod	31	100
chr12:52950346-mod	1	4
chr12:52950346-unmod	27	91
chr12:52950373-mod	1	3
chr12:52950373-unmod	29	101
chr12:52950397-mod	5	6
chr12:52950397-unmod	28	106
chr12:52950820-mod	1	3
chr12:52950820-unmod	48	120
chr12:52950895-mod	1	3
chr12:52950895-unmod	46	116
chr12:52951553-mod	6	18
chr12:52951553-unmod	47	117
chr12:52951574-mod	1	5
chr12:52951574-unmod	48	114
chr12:52951610-mod	9	19
chr12:52951610-unmod	50	123
chr12:52951839-mod	5	22
chr12:52951839-unmod	57	134
chr12:52952134-mod	7	42
chr12:52952134-unmod	57	118
chr12:52952237-mod	3	5
chr12:52952237-unmod	57	153
chr12:52952272-mod	7	19
chr12:52952272-unmod	58	143
chr12:52952335-mod	5	23
chr12:52952335-unmod	61	138
chr12:52952738-mod	14	42
chr12:52952738-unmod	45	103
chr12:52952812-mod	4	15
chr12:52952812-unmod	58	149
chr12:52952819-mod	4	6
chr12:52952819-unmod	53	139
chr12:53039652-mod	2	7
chr12:53039652-unmod	9	30
chr12:53040268-mod	2	5
chr12:53040268-unmod	9	33
chr12:53040829-mod	2	6
chr12:53040829-unmod	21	29
chr12:53040861-mod	2	6
chr12:53040861-unmod	20	23
chr12:53040951-mod	1	7
chr12:53040951-unmod	23	39
chr12:53041119-mod	4	5
chr12:53041119-unmod	23	40
chr12:53041222-mod	3	16
chr12:53041222-unmod	25	32
chr12:53041377-mod	2	7
chr12:53041377-unmod	32	45
chr12:53041552-mod	3	8
chr12:53041552-unmod	34	51
chr12:53041596-mod	1	9
chr12:53041596-unmod	39	48
chr12:53041641-mod	2	2
chr12:53041641-unmod	32	55
chr12:53041784-mod	4	6
chr12:53041784-unmod	21	40
chr12:53041908-mod	1	1
chr12:53041908-unmod	23	41
chr12:53041985-mod	1	6
chr12:53041985-unmod	42	61
chr12:53097714-mod	3	9
chr12:53097714-unmod	11	28
chr12:53097946-mod	4	11
chr12:53097946-unmod	15	57
chr12:53097959-mod	8	20
chr12:53097959-unmod	13	50
chr12:53100774-mod	1	13
chr12:53100774-unmod	22	66
chr12:53100846-mod	1	1
chr12:53100846-unmod	16	77
chr12:53101062-mod	4	11
chr12:53101062-unmod	17	64
chr12:53101131-mod	3	4
chr12:53101131-unmod	16	81
chr12:53102205-mod	3	7
chr12:53102205-unmod	22	79
chr12:53295625-mod	5	8
chr12:53295625-unmod	51	87
chr12:53295908-mod	8	20
chr12:53295908-unmod	49	71
chr12:53295926-mod	8	20
chr12:53295926-unmod	41	68
chr12:53297881-mod	3	16
chr12:53297881-unmod	55	87
chr12:53297903-mod	14	21
chr12:53297903-unmod	47	79
chr12:53298063-mod	3	6
chr12:53298063-unmod	58	97
chr12:53299372-mod	2	4
chr12:53299372-unmod	61	95
chr12:53454751-mod	5	12
chr12:53454751-unmod	56	71
chr12:53454758-mod	3	6
chr12:53454758-unmod	73	99
chr12:53454763-mod	3	8
chr12:53454763-unmod	66	92
chr12:53454788-mod	11	8
chr12:53454788-unmod	61	82
chr12:53454804-mod	5	8
chr12:53454804-unmod	58	75
chr12:53455946-mod	3	7
chr12:53455946-unmod	66	77
chr12:53455987-mod	9	14
chr12:53455987-unmod	74	99
chr12:53455991-mod	1	1
chr12:53455991-unmod	75	92
chr12:53459272-mod	2	2
chr12:53459272-unmod	82	109
chr12:53459289-mod	10	15
chr12:53459289-unmod	94	115
chr12:53462510-mod	8	6
chr12:53462510-unmod	124	153
chr12:53464760-mod	4	4
chr12:53464760-unmod	48	60
chr12:53464829-mod	6	9
chr12:53464829-unmod	60	91
chr12:53464839-mod	3	6
chr12:53464839-unmod	77	100
chr12:53465948-mod	14	20
chr12:53465948-unmod	107	113
chr12:53467223-mod	8	7
chr12:53467223-unmod	121	149
chr12:53468813-mod	33	79
chr12:53468813-unmod	98	99
chr12:53471719-mod	21	43
chr12:53471719-unmod	100	113
chr12:53479443-mod	4	4
chr12:53479443-unmod	160	208
chr12:53479514-mod	23	39
chr12:53479514-unmod	90	106
chr12:53479789-mod	16	19
chr12:53479789-unmod	33	46
chr12:53665193-mod	2	1
chr12:53665193-unmod	66	89
chr12:53665204-mod	1	2
chr12:53665204-unmod	72	94
chr12:53665425-mod	2	3
chr12:53665425-unmod	67	86
chr12:53669181-mod	19	31
chr12:53669181-unmod	57	66
chr12:54281402-mod	10	26
chr12:54281402-unmod	44	65
chr12:54281494-mod	14	22
chr12:54281494-unmod	50	83
chr12:54281916-mod	2	2
chr12:54281916-unmod	73	136
chr12:54282116-mod	9	14
chr12:54282116-unmod	68	128
chr12:54282153-mod	5	12
chr12:54282153-unmod	70	115
chr12:54282163-mod	9	23
chr12:54282163-unmod	63	100
chr12:54282187-mod	4	14
chr12:54282187-unmod	67	111
chr12:54282221-mod	16	35
chr12:54282221-unmod	56	90
chr12:54282225-mod	3	8
chr12:54282225-unmod	66	104
chr12:54282279-mod	4	14
chr12:54282279-unmod	62	97
chr12:54282590-mod	5	2
chr12:54282590-unmod	81	140
chr12:54283881-mod	4	13
chr12:54283881-unmod	65	98
chr12:54284586-mod	5	11
chr12:54284586-unmod	81	125
chr12:54284619-mod	17	33
chr12:54284619-unmod	84	131
chr12:54284703-mod	6	9
chr12:54284703-unmod	101	161
chr12:54284711-mod	29	74
chr12:54284711-unmod	48	52
chr12:54284723-mod	5	23
chr12:54284723-unmod	98	145
chr12:54285042-mod	17	21
chr12:54285042-unmod	20	47
chr12:54285061-mod	2	7
chr12:54285061-unmod	33	58
chr12:54342257-mod	2	4
chr12:54342257-unmod	10	13
chr12:54342280-mod	1	1
chr12:54342280-unmod	9	14
chr12:54345481-mod	5	6
chr12:54345481-unmod	6	11
chr12:55725476-mod	1	2
chr12:55725476-unmod	18	29
chr12:55726199-mod	30	45
chr12:55726199-unmod	128	148
chr12:55726715-mod	5	5
chr12:55726715-unmod	121	159
chr12:55727169-mod	18	34
chr12:55727169-unmod	141	143
chr12:55727324-mod	34	35
chr12:55727324-unmod	86	119
chr12:56042424-mod	1	1
chr12:56042424-unmod	95	101
chr12:56042494-mod	21	25
chr12:56042494-unmod	79	76
chr12:56042518-mod	15	11
chr12:56042518-unmod	60	70
chr12:56042575-mod	2	3
chr12:56042575-unmod	98	102
chr12:56043461-mod	4	9
chr12:56043461-unmod	89	97
chr12:56043466-mod	44	55
chr12:56043466-unmod	52	48
chr12:56044172-mod	2	3
chr12:56044172-unmod	87	94
chr12:56117607-mod	31	58
chr12:56117607-unmod	69	77
chr12:56117648-mod	19	22
chr12:56117648-unmod	86	120
chr12:56117683-mod	1	1
chr12:56117683-unmod	94	114
chr12:56117731-mod	2	6
chr12:56117731-unmod	92	122
chr12:56117738-mod	4	9
chr12:56117738-unmod	95	122
chr12:56117747-mod	33	49
chr12:56117747-unmod	63	77
chr12:56158687-mod	3	19
chr12:56158687-unmod	19	43
chr12:56159613-mod	1	1
chr12:56159613-unmod	19	61
chr12:56159618-mod	8	27
chr12:56159618-unmod	13	40
chr12:56159679-mod	1	1
chr12:56159679-unmod	32	65
chr12:56159715-mod	1	4
chr12:56159715-unmod	19	63
chr12:56159995-mod	6	13
chr12:56159995-unmod	15	54
chr12:56160024-mod	2	4
chr12:56160024-unmod	21	58
chr12:56160043-mod	3	9
chr12:56160043-unmod	29	58
chr12:56160074-mod	5	12
chr12:56160074-unmod	28	61
chr12:56160293-mod	4	18
chr12:56160293-unmod	16	46
chr12:56271768-mod	3	2
chr12:56271768-unmod	7	9
chr12:56272121-mod	2	1
chr12:56272121-unmod	8	9
chr12:56272281-mod	3	5
chr12:56272281-unmod	7	5
chr12:56272936-mod	1	3
chr12:56272936-unmod	11	7
chr12:56638214-mod	53	73
chr12:56638214-unmod	72	54
chr12:56638379-mod	13	27
chr12:56638379-unmod	128	123
chr12:56638400-mod	27	48
chr12:56638400-unmod	132	130
chr12:56638413-mod	6	12
chr12:56638413-unmod	158	175
chr12:56639135-mod	6	5
chr12:56639135-unmod	165	184
chr12:56639237-mod	2	2
chr12:56639237-unmod	131	157
chr12:56639259-mod	9	13
chr12:56639259-unmod	166	180
chr12:56639305-mod	21	24
chr12:56639305-unmod	116	130
chr12:56640061-mod	2	7
chr12:56640061-unmod	158	157
chr12:56640160-mod	5	11
chr12:56640160-unmod	139	148
chr12:56640164-mod	12	18
chr12:56640164-unmod	128	132
chr12:56640169-mod	24	29
chr12:56640169-unmod	133	143
chr12:56642518-mod	13	26
chr12:56642518-unmod	131	139
chr12:56642761-mod	13	21
chr12:56642761-unmod	130	140
chr12:56642770-mod	14	15
chr12:56642770-unmod	131	144
chr12:56642801-mod	19	15
chr12:56642801-unmod	139	152
chr12:56643476-mod	9	5
chr12:56643476-unmod	134	150
chr12:56643557-mod	9	14
chr12:56643557-unmod	125	139
chr12:56643890-mod	31	32
chr12:56643890-unmod	87	107
chr12:56644815-mod	3	6
chr12:56644815-unmod	122	133
chr12:56644847-mod	2	5
chr12:56644847-unmod	112	133
chr12:56644937-mod	8	14
chr12:56644937-unmod	105	118
chr12:56645198-mod	1	1
chr12:56645198-unmod	109	133
chr12:56645246-mod	24	28
chr12:56645246-unmod	85	103
chr12:56645346-mod	2	5
chr12:56645346-unmod	103	125
chr12:56645906-mod	2	8
chr12:56645906-unmod	100	113
chr12:56663652-mod	1	1
chr12:56663652-unmod	40	47
chr12:56663946-mod	1	3
chr12:56663946-unmod	35	37
chr12:56664070-mod	1	5
chr12:56664070-unmod	30	31
chr12:56664087-mod	4	5
chr12:56664087-unmod	23	20
chr12:56664251-mod	10	5
chr12:56664251-unmod	15	21
chr12:56664438-mod	4	5
chr12:56664438-unmod	20	22
chr12:56666258-mod	3	4
chr12:56666258-unmod	21	23
chr12:56672962-mod	2	2
chr12:56672962-unmod	20	19
chr12:56673029-mod	1	1
chr12:56673029-unmod	21	19
chr12:56712497-mod	13	29
chr12:56712497-unmod	95	142
chr12:56712816-mod	2	2
chr12:56712816-unmod	110	179
chr12:56713096-mod	1	6
chr12:56713096-unmod	99	162
chr12:56713104-mod	4	8
chr12:56713104-unmod	96	157
chr12:56713116-mod	1	1
chr12:56713116-unmod	113	183
chr12:56713671-mod	1	5
chr12:56713671-unmod	103	167
chr12:56714409-mod	5	9
chr12:56714409-unmod	88	156
chr12:56714637-mod	2	12
chr12:56714637-unmod	86	145
chr12:56714668-mod	2	8
chr12:56714668-unmod	90	154
chr12:56714678-mod	12	23
chr12:56714678-unmod	74	129
chr12:57230898-mod	3	5
chr12:57230898-unmod	14	28
chr12:57231481-mod	1	4
chr12:57231481-unmod	16	33
chr12:57231526-mod	1	1
chr12:57231526-unmod	17	35
chr12:57232458-mod	4	9
chr12:57232458-unmod	12	14
chr12:57232471-mod	2	2
chr12:57232471-unmod	19	38
chr12:57232491-mod	5	10
chr12:57232491-unmod	15	28
chr12:57232800-mod	1	1
chr12:57232800-unmod	12	35
chr12:57233259-mod	2	6
chr12:57233259-unmod	17	29
chr12:57233853-mod	2	3
chr12:57233853-unmod	16	38
chr12:57234041-mod	2	8
chr12:57234041-unmod	15	30
chr12:57234059-mod	1	8
chr12:57234059-unmod	18	39
chr12:57234269-mod	2	9
chr12:57234269-unmod	18	33
chr12:57234387-mod	4	7
chr12:57234387-unmod	33	45
chr12:57234516-mod	4	18
chr12:57234516-unmod	40	45
chr12:57234590-mod	2	2
chr12:57234590-unmod	14	38
chr12:57515168-mod	3	2
chr12:57515168-unmod	7	8
chr12:57515295-mod	3	8
chr12:57515295-unmod	19	23
chr12:57516584-mod	4	2
chr12:57516584-unmod	22	29
chr12:57530731-mod	1	4
chr12:57530731-unmod	19	34
chr12:57721274-mod	2	1
chr12:57721274-unmod	8	13
chr12:57748472-mod	3	1
chr12:57748472-unmod	7	11
chr12:57748607-mod	44	157
chr12:57748607-unmod	88	209
chr12:57749290-mod	38	143
chr12:57749290-unmod	99	312
chr12:57749453-mod	18	56
chr12:57749453-unmod	175	551
chr12:57749486-mod	18	62
chr12:57749486-unmod	170	511
chr12:57750700-mod	32	108
chr12:57750700-unmod	156	439
chr12:57750971-mod	26	132
chr12:57750971-unmod	177	495
chr12:57750987-mod	18	29
chr12:57750987-unmod	72	223
chr12:57750999-mod	15	49
chr12:57750999-unmod	161	474
chr12:57751010-mod	36	165
chr12:57751010-unmod	174	502
chr12:57751246-mod	27	93
chr12:57751246-unmod	164	520
chr12:57751256-mod	44	150
chr12:57751256-unmod	119	327
chr12:57751264-mod	34	132
chr12:57751264-unmod	140	404
chr12:57751270-mod	8	28
chr12:57751270-unmod	147	442
chr12:57751309-mod	18	54
chr12:57751309-unmod	168	513
chr12:57751313-mod	102	343
chr12:57751313-unmod	91	254
chr12:57751662-mod	83	280
chr12:57751662-unmod	77	194
chr12:6225454-mod	1	3
chr12:6225454-unmod	45	39
chr12:6232725-mod	11	14
chr12:6232725-unmod	37	24
chr12:6235479-mod	12	19
chr12:6235479-unmod	38	22
chr12:6235507-mod	11	11
chr12:6235507-unmod	41	37
chr12:6237811-mod	12	8
chr12:6237811-unmod	49	48
chr12:6238212-mod	3	2
chr12:6238212-unmod	61	55
chr12:6238225-mod	1	1
chr12:6238225-unmod	49	44
chr12:6385057-mod	3	5
chr12:6385057-unmod	19	21
chr12:6385105-mod	6	7
chr12:6385105-unmod	16	22
chr12:6385113-mod	1	1
chr12:6385113-unmod	20	28
chr12:6385346-mod	1	3
chr12:6385346-unmod	19	24
chr12:6386354-mod	3	2
chr12:6386354-unmod	21	31
chr12:6388399-mod	3	2
chr12:6388399-unmod	24	32
chr12:6390119-mod	4	3
chr12:6390119-unmod	22	32
chr12:6390175-mod	2	5
chr12:6390175-unmod	22	27
chr12:6390291-mod	1	3
chr12:6390291-unmod	14	30
chr12:6390311-mod	5	8
chr12:6390311-unmod	8	11
chr12:6390694-mod	2	6
chr12:6390694-unmod	28	38
chr12:6390726-mod	1	4
chr12:6390726-unmod	9	29
chr12:6390777-mod	5	17
chr12:6390777-unmod	28	29
chr12:6390806-mod	1	3
chr12:6390806-unmod	23	29
chr12:6390914-mod	2	2
chr12:6390914-unmod	31	43
chr12:6390932-mod	5	18
chr12:6390932-unmod	6	12
chr12:6390936-mod	7	15
chr12:6390936-unmod	4	12
chr12:6391119-mod	20	30
chr12:6391119-unmod	9	9
chr12:6391199-mod	3	6
chr12:6391199-unmod	9	8
chr12:6391368-mod	26	39
chr12:6391368-unmod	3	5
chr12:64448512-mod	1	2
chr12:64448512-unmod	9	21
chr12:64448531-mod	2	3
chr12:64448531-unmod	10	22
chr12:6534827-mod	6	11
chr12:6534827-unmod	573	787
chr12:6536534-mod	4	8
chr12:6536534-unmod	749	1019
chr12:6536567-mod	15	27
chr12:6536567-unmod	541	764
chr12:6536579-mod	21	40
chr12:6536579-unmod	679	918
chr12:6537179-mod	88	109
chr12:6537179-unmod	739	1028
chr12:6537194-mod	28	43
chr12:6537194-unmod	803	1076
chr12:6537383-mod	41	99
chr12:6537383-unmod	856	1156
chr12:6537583-mod	88	217
chr12:6537583-unmod	731	946
chr12:6537616-mod	21	72
chr12:6537616-unmod	846	1115
chr12:6537639-mod	69	93
chr12:6537639-unmod	800	1115
chr12:6537671-mod	34	68
chr12:6537671-unmod	908	1231
chr12:6537788-mod	20	65
chr12:6537788-unmod	701	908
chr12:6537793-mod	188	345
chr12:6537793-unmod	671	806
chr12:6537810-mod	1	1
chr12:6537810-unmod	933	1276
chr12:6537827-mod	7	20
chr12:6537827-unmod	825	1167
chr12:6537911-mod	144	274
chr12:6537911-unmod	797	1048
chr12:6538105-mod	13	16
chr12:6538105-unmod	929	1253
chr12:6538138-mod	55	95
chr12:6538138-unmod	969	1285
chr12:6538171-mod	8	20
chr12:6538171-unmod	993	1301
chr12:6538179-mod	28	59
chr12:6538179-unmod	990	1323
chr12:6538217-mod	6	7
chr12:6538217-unmod	846	1254
chr12:6538295-mod	3	19
chr12:6538295-unmod	896	1239
chr12:6748032-mod	1	5
chr12:6748032-unmod	27	30
chr12:6748119-mod	1	3
chr12:6748119-unmod	31	33
chr12:6748130-mod	4	4
chr12:6748130-unmod	27	29
chr12:6748340-mod	7	15
chr12:6748340-unmod	20	18
chr12:6748361-mod	3	12
chr12:6748361-unmod	21	22
chr12:6748509-mod	2	1
chr12:6748509-unmod	29	36
chr12:6748801-mod	5	4
chr12:6748801-unmod	20	26
chr12:6748831-mod	2	2
chr12:6748831-unmod	28	31
chr12:6748839-mod	3	1
chr12:6748839-unmod	28	34
chr12:6749867-mod	3	2
chr12:6749867-unmod	30	33
chr12:6749930-mod	1	1
chr12:6749930-unmod	23	25
chr12:6749965-mod	3	7
chr12:6749965-unmod	24	23
chr12:6749988-mod	3	2
chr12:6749988-unmod	26	31
chr12:6750302-mod	1	1
chr12:6750302-unmod	25	30
chr12:6753000-mod	1	1
chr12:6753000-unmod	14	24
chr12:6867600-mod	7	17
chr12:6867600-unmod	74	114
chr12:6868944-mod	24	39
chr12:6868944-unmod	62	110
chr12:6868958-mod	2	9
chr12:6868958-unmod	83	132
chr12:6869115-mod	6	14
chr12:6869115-unmod	90	141
chr12:6869295-mod	2	16
chr12:6869295-unmod	116	164
chr12:6869374-mod	1	4
chr12:6869374-unmod	100	142
chr12:6869699-mod	15	28
chr12:6869699-unmod	117	159
chr12:6869755-mod	4	14
chr12:6869755-unmod	128	167
chr12:6870272-mod	26	51
chr12:6870272-unmod	120	140
chr12:6870376-mod	5	5
chr12:6870376-unmod	136	191
chr12:6870422-mod	18	35
chr12:6870422-unmod	128	176
chr12:6870446-mod	6	24
chr12:6870446-unmod	118	152
chr12:6870509-mod	12	13
chr12:6870509-unmod	143	199
chr12:6870556-mod	4	12
chr12:6870556-unmod	133	170
chr12:6870595-mod	28	55
chr12:6870595-unmod	116	151
chr12:6870794-mod	15	39
chr12:6870794-unmod	124	136
chr12:6944100-mod	8	12
chr12:6944100-unmod	8	41
chr12:6945871-mod	1	1
chr12:6945871-unmod	14	49
chr12:69597189-mod	5	13
chr12:69597189-unmod	5	19
chr12:69597242-mod	1	1
chr12:69597242-unmod	10	21
chr12:69597742-mod	2	5
chr12:69597742-unmod	8	14
chr12:69597750-mod	2	10
chr12:69597750-unmod	8	20
chr12:69597999-mod	4	7
chr12:69597999-unmod	7	14
chr12:69598340-mod	1	2
chr12:69598340-unmod	9	22
chr12:69598355-mod	1	1
chr12:69598355-unmod	10	31
chr12:6965462-mod	23	26
chr12:6965462-unmod	22	38
chr12:6965478-mod	3	6
chr12:6965478-unmod	45	62
chr12:6965529-mod	5	18
chr12:6965529-unmod	37	41
chr12:6965550-mod	8	7
chr12:6965550-unmod	32	55
chr12:6965668-mod	7	6
chr12:6965668-unmod	39	52
chr12:6965709-mod	7	4
chr12:6965709-unmod	37	59
chr12:6966447-mod	20	21
chr12:6966447-unmod	21	35
chr12:6967225-mod	3	7
chr12:6967225-unmod	41	47
chr12:6967726-mod	2	5
chr12:6967726-unmod	42	55
chr12:6967977-mod	2	6
chr12:6967977-unmod	36	51
chr12:6969544-mod	2	4
chr12:6969544-unmod	31	41
chr12:6970225-mod	5	15
chr12:6970225-unmod	29	27
chr12:6970523-mod	6	16
chr12:6970523-unmod	24	29
chr12:6970532-mod	4	13
chr12:6970532-unmod	27	31
chr12:6970544-mod	1	1
chr12:6970544-unmod	31	41
chr12:6970573-mod	7	8
chr12:6970573-unmod	18	30
chr12:6970639-mod	5	3
chr12:6970639-unmod	9	13
chr12:76029768-mod	1	5
chr12:76029768-unmod	11	23
chr12:76029889-mod	6	15
chr12:76029889-unmod	4	16
chr12:76029903-mod	1	9
chr12:76029903-unmod	12	21
chr12:89348234-mod	2	1
chr12:89348234-unmod	9	9
chr12:8940555-mod	1	1
chr12:8940555-unmod	9	12
chr12:8940889-mod	1	1
chr12:8940889-unmod	9	12
chr12:92143245-mod	3	12
chr12:92143245-unmod	8	22
chr12:92143339-mod	2	9
chr12:92143339-unmod	9	27
chr12:92143556-mod	1	3
chr12:92143556-unmod	9	29
chr12:95861285-mod	3	5
chr12:95861285-unmod	7	9
chr12:96000903-mod	3	1
chr12:96000903-unmod	8	10
chr12:96001062-mod	3	4
chr12:96001062-unmod	7	8
chr12:96002994-mod	3	2
chr12:96002994-unmod	8	11
chr12:98594012-mod	13	24
chr12:98594012-unmod	87	130
chr12:98594060-mod	3	14
chr12:98594060-unmod	100	141
chr12:98597859-mod	6	10
chr12:98597859-unmod	93	119
chr12:98597974-mod	26	35
chr12:98597974-unmod	88	128
chr12:98598588-mod	1	1
chr12:98598588-unmod	110	151
chr12:98599987-mod	2	1
chr12:98599987-unmod	99	157
chr12:98601267-mod	1	2
chr12:98601267-unmod	123	168
chr12:98601380-mod	18	45
chr12:98601380-unmod	115	142
chr12:98601414-mod	38	64
chr12:98601414-unmod	97	101
chr12:98601439-mod	3	19
chr12:98601439-unmod	141	180
chr12:98601519-mod	3	6
chr12:98601519-unmod	142	196
chr12:98601548-mod	87	139
chr12:98601548-unmod	51	46
chr12:98601592-mod	14	32
chr12:98601592-unmod	135	169
chr12:98601607-mod	3	5
chr12:98601607-unmod	120	169
chr12:98601692-mod	1	3
chr12:98601692-unmod	80	92
chr13:113306580-mod	2	8
chr13:113306580-unmod	8	4
chr13:113309655-mod	1	1
chr13:113309655-unmod	10	12
chr13:113309709-mod	7	2
chr13:113309709-unmod	13	11
chr13:113309820-mod	2	1
chr13:113309820-unmod	21	12
