inclusion_exclusion	contains_novel_or_only_known_junctions	as_event_type	gene_name	gene_coordinates	strand	W1D2.S24_wtdmso_b1	W1D3.S32_wtdmso_b1	W2D2.S22_wtdmso_b1	W2D3.S30_wtdmso_b1	M1C2.S29_mtcsc_b1	M1C3.S37_mtcsc_b1	M2C2.S27_mtcsc_b1	lr	padj	dpsi
inclusion	K	cassette	ASAP2	chr2:9391062-9391196	+	0.329	0.329	0.329	0.329	0.151	0.151	0.151	19.63	0.000486	-17.799999999999997
inclusion	K	cassette	NF1	chr17:31252938-31253000	+	0.88	0.88	0.88	0.88	0.622	0.622	0.622	19.61	0.000489	-25.799999999999997
inclusion	N	cassette	TFDP1	chr13:113637818-113637896	+	0.922	0.922	0.922	0.922	0.988	0.988	0.988	19.55	0.000504	6.599999999999994
inclusion	K	intron_retention	LAMC2	chr1:183240392-183243146	+	0.008	0.008	0.008	0.008	0.017	0.017	0.017	19.54	0.000506	0.9000000000000001
inclusion	K	intron_retention	SLC10A3	chrX:154488497-154488583	-	0.944	0.944	0.944	0.944	0.839	0.839	0.839	19.53	0.000507	-10.5
inclusion	K	cassette	TBC1D13	chr9:128790735-128790775	+	0.203	0.203	0.203	0.203	0.427	0.427	0.427	19.5	0.000513	22.399999999999995
inclusion	K	cassette	DNAJC19	chr3:180986943-180987022	-	0.734	0.734	0.734	0.734	0.886	0.886	0.886	19.42	0.000531	15.199999999999989
inclusion	N	alternative_last_exon	XPNPEP1	chr10:109907816-109923401	-	0.133	0.133	0.133	0.133	0.019	0.019	0.019	19.43	0.000531	-11.4
inclusion	K	alternative_last_exon	UBAP2L	chr1:154261698-154263102	+	0.417	0.417	0.417	0.417	0.267	0.267	0.267	19.4	0.000536	-14.999999999999993
inclusion	N	cassette	DLG1	chr3:197076586-197076685	-	0.407	0.407	0.407	0.407	0.628	0.628	0.628	19.37	0.000543	22.1
inclusion	N	cassette	FAM189B	chr1:155254400-155254456	-	0.588	0.588	0.588	0.588	0.741	0.741	0.741	19.36	0.000545	15.299999999999997
inclusion	K	cassette	RBM3	chrX:48575815-48576083	+	0.086	0.086	0.086	0.086	0.016	0.016	0.016	19.35	0.000547	-7.0
inclusion	K	cassette	PPHLN1	chr12:42384940-42384996	+	0.888	0.888	0.888	0.888	0.745	0.745	0.745	19.31	0.000555	-14.299999999999997
inclusion	N	alternative_first_exon	ZC3H11A	chr1:203796497-203801574,chr1:203796602-203801574	+	0.591	0.591	0.591	0.591	0.932	0.932	0.932	19.22	0.000582	34.10000000000001
inclusion	N	cassette	BCL9L	chr11:118918826-118918879	-	0.636	0.636	0.636	0.636	0.863	0.863	0.863	19.18	0.000592	22.699999999999996
inclusion	K	alternative_last_exon	ERBB2	chr17:39717481-39719786	+	0.912	0.912	0.912	0.912	0.996	0.996	0.996	19.18	0.000592	8.399999999999991
inclusion	K	intron_retention	FANCA	chr16:89738709-89738881	-	0.564	0.564	0.564	0.564	0.266	0.266	0.266	19.17	0.000593	-29.79999999999999
inclusion	N	cassette	ACOT9	chrX:23734341-23734367	-	0.587	0.587	0.587	0.587	0.302	0.302	0.302	19.12	0.000605	-28.499999999999996
inclusion	K	intron_retention	PKM	chr15:72200656-72203021	-	0.169	0.169	0.169	0.169	0.073	0.073	0.073	19.09	0.000614	-9.600000000000001
inclusion	K	alternative_first_exon	SHMT2	chr12:57229812-57230802	+	0.704	0.704	0.704	0.704	0.815	0.815	0.815	19.03	0.000626	11.100000000000009
inclusion	K	cassette	AP1G2	chr14:23566562-23566686	-	0.93	0.93	0.93	0.93	0.784	0.784	0.784	19.04	0.000626	-14.599999999999994
inclusion	K	cassette	THYN1	chr11:134248809-134248959	-	0.944	0.944	0.944	0.944	0.808	0.808	0.808	19.04	0.000626	-13.59999999999998
inclusion	N	alternative_donor	SEPTIN8	chr5:132752182-132754413	-	0.828	0.828	0.828	0.828	0.945	0.945	0.945	19.04	0.000626	11.700000000000003
inclusion	N	cassette	TNKS	chr8:9733279-9733444	+	0.984	0.984	0.984	0.984	0.748	0.748	0.748	19.04	0.000626	-23.60000000000001
inclusion	K	cassette	ANKLE2	chr12:132733996-132734071	-	0.05	0.05	0.05	0.05	0.008	0.008	0.008	19.01	0.00063	-4.2
inclusion	K	intron_retention	TARDBP	chr1:11022178-11023192	+	0.883	0.883	0.883	0.883	0.982	0.982	0.982	19	0.000635	9.900000000000006
inclusion	K	alternative_acceptor	SCAF4	chr21:31685241-31685397	-	0.557	0.557	0.557	0.557	0.343	0.343	0.343	18.93	0.000657	-21.4
inclusion	N	intron_retention	TRIM16L	chr17:18720326-18722236	+	0.13	0.13	0.13	0.13	0.475	0.475	0.475	18.9	0.000664	34.5
inclusion	K	alternative_last_exon	ZNF691	chr1:42846658-42849290	+	0.061	0.061	0.061	0.061	0.388	0.388	0.388	18.87	0.000672	32.7
inclusion	K	cassette	USP25	chr21:15849777-15849872	+	0.076	0.076	0.076	0.076	0.24	0.24	0.24	18.85	0.000679	16.4
inclusion	N	alternative_donor	ATAD3B	chr1:1477351-1478643	+	0.356	0.356	0.356	0.356	0.753	0.753	0.753	18.76	0.00071	39.699999999999996
inclusion	N	coord_cassette	DGUOK	chr2:73950585-73950732	+	0.388	0.388	0.388	0.388	0.619	0.619	0.619	18.74	0.000714	23.099999999999994
inclusion	N	alternative_donor	MSL1	chr17:40129862-40131536	+	0.325	0.325	0.325	0.325	0.563	0.563	0.563	18.71	0.000725	23.799999999999997
inclusion	N	alternative_acceptor	SMYD5	chr2:73218970-73220050	+	0.725	0.725	0.725	0.725	0.884	0.884	0.884	18.68	0.000734	15.900000000000006
inclusion	K	coord_cassette	ARHGAP12	chr10:31839305-31839319	-	0.546	0.546	0.546	0.546	0.204	0.204	0.204	18.62	0.000754	-34.2
inclusion	N	intron_retention	SPINT1	chr15:40853628-40853787	+	0.996	0.996	0.996	0.996	0.923	0.923	0.923	18.58	0.00077	-7.299999999999983
inclusion	K	alternative_last_exon	SLAIN2	chr4:48383785-48394575	+	0.647	0.647	0.647	0.647	0.834	0.834	0.834	18.56	0.000777	18.69999999999999
inclusion	K	alternative_acceptor	TASOR	chr3:56633967-56638705	-	0.667	0.667	0.667	0.667	0.357	0.357	0.357	18.55	0.000778	-31.000000000000007
inclusion	K	alternative_last_exon	TMEM129	chr4:1717676-1718151,chr4:1717704-1718151	-	0.528	0.528	0.528	0.528	0.77	0.77	0.77	18.5	0.000796	24.199999999999996
inclusion	K	alternative_last_exon	INO80E	chr16:30001041-30001464,chr16:30001041-30001413,chr16:30001041-30001211	+	0.751	0.751	0.751	0.751	0.91	0.91	0.91	18.42	0.000827	15.900000000000006
inclusion	K	cassette	NUMB	chr14:73279281-73279424	-	0.276	0.276	0.276	0.276	0.147	0.147	0.147	18.36	0.000855	-12.900000000000002
inclusion	K	alternative_last_exon	TYK2	chr19:10353647-10354041	-	0.9	0.9	0.9	0.9	0.994	0.994	0.994	18.33	0.00086	9.400000000000006
inclusion	N	alternative_first_exon	COPS5	chr8:67059446-67062105,chr8:67059446-67061853	-	0.884	0.884	0.884	0.884	0.965	0.965	0.965	18.33	0.00086	8.099999999999994
inclusion	N	cassette	MYOF	chr10:93392917-93392955	-	0.666	0.666	0.666	0.666	0.503	0.503	0.503	18.34	0.00086	-16.30000000000001
inclusion	K	intron_retention	MSL1	chr17:40129628-40131536	+	0.32	0.32	0.32	0.32	0.55	0.55	0.55	18.28	0.000879	23.000000000000007
inclusion	N	alternative_first_exon	AL136531.2	chr20:1320436-1392833	-	0.087	0.087	0.087	0.087	0.003	0.003	0.003	18.28	0.000879	-8.399999999999999
inclusion	N	cassette	USP22	chr17:21028542-21028674	-	0.939	0.939	0.939	0.939	0.992	0.992	0.992	18.28	0.000879	5.300000000000011
inclusion	K	alternative_first_exon	OPA1	chr3:193626203-193631611	+	0.424	0.424	0.424	0.424	0.723	0.723	0.723	18.27	0.000879	29.9
inclusion	K	alternative_first_exon	MCM7	chr7:100100094-100100212	-	0.3	0.3	0.3	0.3	0.11	0.11	0.11	18.25	0.000886	-19.0
inclusion	K	alternative_last_exon	ATP13A3	chr3:194412289-194413758	-	0.88	0.88	0.88	0.88	0.673	0.673	0.673	18.15	0.00093	-20.69999999999999
inclusion	N	cassette	MFF	chr2:227329606-227329783	+	0.084	0.084	0.084	0.084	0.196	0.196	0.196	18.15	0.00093	11.200000000000001
inclusion	K	intron_retention	RPL17-C18orf32	chr18:49491585-49491735	-	0.421	0.421	0.421	0.421	0.586	0.586	0.586	18.14	0.000932	16.499999999999993
inclusion	N	alternative_acceptor	ALS2CL	chr3:46674740-46675617	.	0.618	0.618	0.618	0.618	0.818	0.818	0.818	18.14	0.000932	20.0
inclusion	K	coord_cassette	ITGB6	chr2:160196216-160196420	-	0.989	0.989	0.989	0.989	0.894	0.894	0.894	18.06	0.000965	-9.5
inclusion	N	cassette	TRPC1	chr3:142792824-142792967	+	0.96	0.96	0.96	0.96	0.503	0.503	0.503	18.06	0.000965	-45.7
inclusion	N	alternative_acceptor	USF2	chr19:35278793-35278969	+	0.078	0.078	0.078	0.078	0.188	0.188	0.188	18.04	0.000972	11.0
inclusion	N	alternative_donor	SNHG5	chr6:85678189-85678402	-	0.803	0.803	0.803	0.803	0.493	0.493	0.493	18.03	0.000974	-31.000000000000014
inclusion	N	cassette	COL7A1	chr3:48589599-48589718	-	0.979	0.979	0.979	0.979	0.895	0.895	0.895	18.03	0.000974	-8.399999999999991
inclusion	K	alternative_first_exon	SUN2	chr22:38752666-38754641	-	0.202	0.202	0.202	0.202	0.416	0.416	0.416	17.99	0.000992	21.4
inclusion	N	alternative_last_exon	MICAL2	chr11:12259898-12275985,chr11:12259898-12275982	+	0.309	0.309	0.309	0.309	0.528	0.528	0.528	17.97	0.001	21.900000000000006
inclusion	N	alternative_first_exon	AACS	chr12:125134853-125142091	+	0.23	0.23	0.23	0.23	0.058	0.058	0.058	17.94	0.00101	-17.2
inclusion	K	alternative_last_exon	CRYZ	chr1:74707205-74710097	-	0.664	0.664	0.664	0.664	0.369	0.369	0.369	17.93	0.00102	-29.500000000000007
inclusion	N	alternative_acceptor	MARK3	chr14:103467192-103468080	+	0.203	0.203	0.203	0.203	0.439	0.439	0.439	17.86	0.00105	23.599999999999998
inclusion	K	cassette	CLSTN1	chr1:9737498-9737554	-	0.302	0.302	0.302	0.302	0.147	0.147	0.147	17.86	0.00105	-15.5
inclusion	N	coord_cassette	TIMMDC1	chr3:119503532-119503620	+	0.954	0.954	0.954	0.954	0.998	0.998	0.998	17.85	0.00106	4.400000000000006
inclusion	N	cassette	TMCO4	chr1:19745532-19745651	-	0.985	0.985	0.985	0.985	0.741	0.741	0.741	17.82	0.00107	-24.400000000000006
inclusion	K	alternative_acceptor	METTL26	chr16:635064-635280	-	0.194	0.194	0.194	0.194	0.091	0.091	0.091	17.8	0.00107	-10.300000000000002
inclusion	K	alternative_first_exon	XPNPEP1	chr10:109907816-109915022,chr10:109907816-109915010	-	0.92	0.92	0.92	0.92	0.989	0.989	0.989	17.8	0.00107	6.900000000000006
inclusion	N	cassette	ARNTL	chr11:13326413-13326467	+	0.194	0.194	0.194	0.194	0.506	0.506	0.506	17.8	0.00107	31.2
inclusion	N	cassette	CD59	chr11:33731424-33731468	-	0.208	0.208	0.208	0.208	0.114	0.114	0.114	17.79	0.00108	-9.4
inclusion	N	cassette	TCF25	chr16:89893789-89893858	+	0.888	0.888	0.888	0.888	0.976	0.976	0.976	17.79	0.00108	8.799999999999997
inclusion	N	cassette	HMGXB3	chr5:150024262-150024408	+	0.993	0.993	0.993	0.993	0.889	0.889	0.889	17.78	0.00108	-10.399999999999991
inclusion	N	alternative_donor	CASP8	chr2:201258383-201266486	+	0.76	0.76	0.76	0.76	0.256	0.256	0.256	17.76	0.00108	-50.4
inclusion	N	cassette	EDEM2	chr20:35144979-35145018	-	0.819	0.819	0.819	0.819	0.948	0.948	0.948	17.76	0.00108	12.900000000000006
inclusion	K	cassette	BBX	chr3:107789787-107789876	+	0.752	0.752	0.752	0.752	0.487	0.487	0.487	17.68	0.00113	-26.500000000000007
inclusion	N	cassette	PRKAR2A	chr3:48756379-48756444	-	0.89	0.89	0.89	0.89	0.975	0.975	0.975	17.65	0.00114	8.5
inclusion	N	alternative_last_exon	ATP6V1G2	chr6:31545582-31546108	-	0.17	0.17	0.17	0.17	0.601	0.601	0.601	17.65	0.00114	43.099999999999994
inclusion	K	alternative_last_exon	KLHL7	chr7:23125173-23125760	+	0.643	0.643	0.643	0.643	0.311	0.311	0.311	17.6	0.00116	-33.199999999999996
inclusion	K	intron_retention	TIMM10B	chr11:6482290-6482839	+	0.837	0.837	0.837	0.837	0.977	0.977	0.977	17.61	0.00116	14.0
inclusion	N	alternative_last_exon	NASP	chr1:45606592-45607320	+	0.822	0.822	0.822	0.822	0.608	0.608	0.608	17.6	0.00116	-21.39999999999999
inclusion	N	cassette	SH3D19	chr4:151144220-151144288	-	0.185	0.185	0.185	0.185	0.462	0.462	0.462	17.6	0.00116	27.700000000000003
inclusion	N	intron_retention	HNRNPA2B1	chr7:26190461-26191055	-	0.212	0.212	0.212	0.212	0.609	0.609	0.609	17.61	0.00116	39.7
inclusion	N	alternative_last_exon	SAP30L	chr5:154451214-154452455	+	0.371	0.371	0.371	0.371	0.57	0.57	0.57	17.59	0.00116	19.89999999999999
inclusion	K	intron_retention	APTX	chr9:32987732-32988082	-	0.184	0.184	0.184	0.184	0.359	0.359	0.359	17.55	0.00118	17.5
inclusion	K	cassette	FAM104A	chr17:73212678-73212740	-	0.164	0.164	0.164	0.164	0.339	0.339	0.339	17.52	0.0012	17.500000000000004
inclusion	K	cassette	NSUN2	chr5:6631873-6631977	-	0.867	0.867	0.867	0.867	0.706	0.706	0.706	17.51	0.0012	-16.10000000000001
inclusion	K	cassette	SLMAP	chr3:57865242-57865292	+	0.162	0.162	0.162	0.162	0.037	0.037	0.037	17.48	0.00122	-12.5
inclusion	K	alternative_first_exon	FN1	chr2:215391815-215392930	-	0.303	0.303	0.303	0.303	0.174	0.174	0.174	17.43	0.00125	-12.900000000000002
inclusion	K	alternative_first_exon	HMGCR	chr5:75355215-75355364	+	0.96	0.96	0.96	0.96	0.865	0.865	0.865	17.41	0.00126	-9.5
inclusion	K	intron_retention	SLC29A2	chr11:66368672-66369059	-	0.224	0.224	0.224	0.224	0.014	0.014	0.014	17.38	0.00128	-21.000000000000004
inclusion	K	intron_retention	TSEN54	chr17:75521511-75521704	+	0.255	0.255	0.255	0.255	0.091	0.091	0.091	17.37	0.00128	-16.4
inclusion	N	cassette	CA12	chr15:63327149-63327233	-	0.729	0.729	0.729	0.729	0.944	0.944	0.944	17.32	0.00131	21.5
inclusion	N	cassette	GAS6	chr13:113846527-113846589	-	0.838	0.838	0.838	0.838	0.953	0.953	0.953	17.32	0.00131	11.5
inclusion	K	cassette	TOM1L1	chr17:54903708-54903792	+	0.873	0.873	0.873	0.873	0.975	0.975	0.975	17.31	0.00131	10.200000000000003
inclusion	N	intron_retention	BRD2	chr6:32978389-32979874	+	0.951	0.951	0.951	0.951	0.813	0.813	0.813	17.32	0.00131	-13.799999999999997
inclusion	N	intron_retention	NDUFB4	chr3:120596540-120601172	+	0.65	0.65	0.65	0.65	0.261	0.261	0.261	17.3	0.00132	-38.9
inclusion	K	alternative_acceptor	HMGA2	chr12:65838570-65914719	+	0.121	0.121	0.121	0.121	0.029	0.029	0.029	17.27	0.00133	-9.2
inclusion	N	alternative_acceptor	PLSCR3	chr17:7394160-7394476	-	0.084	0.084	0.084	0.084	0.288	0.288	0.288	17.26	0.00134	20.4
inclusion	N	cassette	C14orf93	chr14:23000959-23001037	-	0.055	0.055	0.055	0.055	0.267	0.267	0.267	17.26	0.00134	21.200000000000003
inclusion	K	cassette	TRERF1	chr6:42263320-42263568	-	0.985	0.985	0.985	0.985	0.773	0.773	0.773	17.24	0.00134	-21.200000000000003
inclusion	N	alternative_first_exon	SQSTM1	chr5:179821142-179822957	+	0.828	0.828	0.828	0.828	0.934	0.934	0.934	17.24	0.00134	10.600000000000009
inclusion	N	cassette	ANKHD1	chr5:140512828-140512923	+	0.991	0.991	0.991	0.991	0.868	0.868	0.868	17.24	0.00134	-12.299999999999997
inclusion	K	intron_retention	FDPS	chr1:155309077-155310063	+	0.182	0.182	0.182	0.182	0.068	0.068	0.068	17.22	0.00135	-11.399999999999999
inclusion	K	alternative_first_exon	PDHA1	chrX:19354584-19355348	+	0.984	0.984	0.984	0.984	0.928	0.928	0.928	17.2	0.00136	-5.599999999999994
inclusion	N	cassette	PHKA2	chrX:18899173-18899226	-	0.768	0.768	0.768	0.768	0.5	0.5	0.5	17.19	0.00137	-26.799999999999997
inclusion	K	alternative_first_exon	FKBP9P1	chr7:55687925-55688912	-	0.133	0.133	0.133	0.133	0.283	0.283	0.283	17.15	0.00139	14.999999999999996
inclusion	N	intron_retention	TANC2	chr17:63418408-63425611	+	0.899	0.899	0.899	0.899	0.995	0.995	0.995	17.14	0.0014	9.599999999999994
inclusion	N	cassette	NPRL3	chr16:130522-130591	-	0.828	0.828	0.828	0.828	0.933	0.933	0.933	17.09	0.00143	10.500000000000014
inclusion	K	alternative_acceptor	FMR1	chrX:147945617-147948682	+	0.438	0.438	0.438	0.438	0.209	0.209	0.209	17.06	0.00145	-22.9
inclusion	K	intron_retention	PFN2	chr3:149966265-149968357	-	0.036	0.036	0.036	0.036	0.107	0.107	0.107	17.01	0.00148	7.1
inclusion	N	alternative_last_exon	CLN6	chr15:68218651-68229501	-	0.705	0.705	0.705	0.705	0.979	0.979	0.979	17.02	0.00148	27.39999999999999
inclusion	K	intron_retention	CNOT7	chr8:17230849-17232426	-	0.032	0.032	0.032	0.032	0.105	0.105	0.105	17	0.00148	7.3
inclusion	K	intron_retention	DUT	chr15:48331796-48332267	+	0.113	0.113	0.113	0.113	0.274	0.274	0.274	17	0.00148	16.1
inclusion	K	cassette	ELK1	chrX:47649921-47650026	-	0.44	0.44	0.44	0.44	0.259	0.259	0.259	17	0.00148	-18.099999999999998
inclusion	K	cassette	RIF1	chr2:151468474-151468551	+	0.518	0.518	0.518	0.518	0.227	0.227	0.227	16.94	0.00152	-29.100000000000005
inclusion	N	cassette	DGLUCY	chr14:91145221-91145313	+	0.082	0.082	0.082	0.082	0.206	0.206	0.206	16.93	0.00153	12.399999999999997
inclusion	N	cassette	IKBIP	chr12:98634296-98634413	-	0.593	0.593	0.593	0.593	0.796	0.796	0.796	16.91	0.00155	20.30000000000001
inclusion	K	alternative_first_exon	COPS7A	chr12:6724331-6724613,chr12:6724379-6724613,chr12:6724369-6724613	+	0.079	0.079	0.079	0.079	0.004	0.004	0.004	16.9	0.00155	-7.5
inclusion	N	cassette	PAK1	chr11:77325328-77325376	-	0.052	0.052	0.052	0.052	0.143	0.143	0.143	16.84	0.00159	9.099999999999998
inclusion	K	intron_retention	DCAF11	chr14:24115393-24115542	+	0.74	0.74	0.74	0.74	0.561	0.561	0.561	16.84	0.00159	-17.89999999999999
inclusion	K	intron_retention	VEGFB	chr11:64237223-64237520	+	0.722	0.722	0.722	0.722	0.538	0.538	0.538	16.83	0.00159	-18.4
inclusion	K	alternative_first_exon	CTTN	chr11:70420511-70422939	+	0.106	0.106	0.106	0.106	0.235	0.235	0.235	16.8	0.00162	12.9
inclusion	N	alternative_acceptor	HDLBP	chr2:241229688-241229832	-	0.926	0.926	0.926	0.926	0.98	0.98	0.98	16.78	0.00164	5.3999999999999915
inclusion	K	cassette	NRCAM	chr7:108225645-108225701	-	0.016	0.016	0.016	0.016	0.142	0.142	0.142	16.77	0.00164	12.6
inclusion	K	cassette	IKBKB	chr8:42288634-42288728	+	0.759	0.759	0.759	0.759	0.972	0.972	0.972	16.76	0.00164	21.299999999999997
inclusion	N	intron_retention	MTSS1	chr8:124553665-124555741	-	0.853	0.853	0.853	0.853	0.67	0.67	0.67	16.76	0.00164	-18.299999999999997
inclusion	N	cassette	GEMIN7	chr19:45079907-45080029	+	0.478	0.478	0.478	0.478	0.265	0.265	0.265	16.75	0.00165	-21.299999999999997
inclusion	N	cassette	KCNJ15	chr21:38291606-38291747	+	0.237	0.237	0.237	0.237	0.433	0.433	0.433	16.71	0.00167	19.599999999999998
inclusion	K	intron_retention	AC245041.2	chr10:47985988-47991679	-	0.903	0.903	0.903	0.903	0.623	0.623	0.623	16.7	0.00168	-28.0
inclusion	N	cassette	TBC1D2B	chr15:78017847-78017957	-	0.922	0.922	0.922	0.922	0.995	0.995	0.995	16.7	0.00168	7.299999999999997
inclusion	N	alternative_last_exon	AC107871.1	chr15:68197629-68229501	-	0.291	0.291	0.291	0.291	0.021	0.021	0.021	16.68	0.00169	-26.999999999999996
inclusion	K	cassette	ST7	chr7:117134124-117134192	+	0.326	0.326	0.326	0.326	0.128	0.128	0.128	16.66	0.00171	-19.8
inclusion	N	alternative_acceptor	GLT8D1	chr3:52695588-52695927	-	0.988	0.988	0.988	0.988	0.88	0.88	0.88	16.66	0.00171	-10.799999999999997
inclusion	K	alternative_first_exon	ZNF446	chr19:58476505-58477178	+	0.724	0.724	0.724	0.724	0.432	0.432	0.432	16.65	0.00171	-29.19999999999999
inclusion	N	cassette	PAK1	chr11:77397027-77397093	-	0.008	0.008	0.008	0.008	0.098	0.098	0.098	16.64	0.00172	9.0
inclusion	K	intron_retention	NOP16	chr5:176384284-176385220	-	0.529	0.529	0.529	0.529	0.364	0.364	0.364	16.62	0.00173	-16.500000000000007
inclusion	K	cassette	C11orf1	chr11:111883136-111883202	+	0.763	0.763	0.763	0.763	0.903	0.903	0.903	16.59	0.00176	14.0
inclusion	N	alternative_last_exon	RPS3	chr11:75399578-75400693	+	0.99	0.99	0.99	0.99	0.998	0.998	0.998	16.57	0.00177	0.7999999999999972
inclusion	N	alternative_first_exon	DDX59	chr1:200649227-200650424	-	0.987	0.987	0.987	0.987	0.797	0.797	0.797	16.55	0.00178	-19.0
inclusion	N	alternative_donor	RER1	chr1:2391959-2393269	+	0.493	0.493	0.493	0.493	0.755	0.755	0.755	16.55	0.00178	26.200000000000003
inclusion	K	alternative_first_exon	C17orf75	chr17:32341285-32341862,chr17:32341285-32341800	-	0.419	0.419	0.419	0.419	0.186	0.186	0.186	16.52	0.0018	-23.299999999999997
inclusion	K	cassette	ERLEC1	chr2:53808299-53808460	+	0.943	0.943	0.943	0.943	0.842	0.842	0.842	16.49	0.00183	-10.099999999999994
inclusion	K	alternative_acceptor	BBS1	chr11:66519749-66520778	+	0.544	0.544	0.544	0.544	0.289	0.289	0.289	16.48	0.00184	-25.500000000000007
inclusion	N	cassette	C3orf18	chr3:50565466-50565861	-	0.894	0.894	0.894	0.894	0.443	0.443	0.443	16.46	0.00185	-45.10000000000001
inclusion	N	alternative_last_exon	MOSMO	chr16:22075700-22080695	+	0.417	0.417	0.417	0.417	0.73	0.73	0.73	16.45	0.00186	31.300000000000004
inclusion	N	coord_cassette	CA12	chr15:63327149-63327233	-	0.756	0.756	0.756	0.756	0.95	0.95	0.95	16.43	0.00187	19.400000000000006
inclusion	K	alternative_acceptor	ALKBH2	chr12:109092938-109093246	-	0.687	0.687	0.687	0.687	0.44	0.44	0.44	16.43	0.00188	-24.700000000000003
inclusion	N	intron_retention	GLT8D1	chr3:52695555-52695927	-	0.925	0.925	0.925	0.925	0.53	0.53	0.53	16.42	0.00188	-39.5
inclusion	N	alternative_donor	DAB2IP	chr9:121783443-121783535	+	0.743	0.743	0.743	0.743	0.608	0.608	0.608	16.4	0.00189	-13.5
inclusion	N	alternative_last_exon	LTBP4	chr19:40623733-40623935	+	0.992	0.992	0.992	0.992	0.92	0.92	0.92	16.4	0.00189	-7.200000000000003
inclusion	K	alternative_last_exon	HMGXB4	chr22:35263875-35263981	+	0.464	0.464	0.464	0.464	0.701	0.701	0.701	16.39	0.0019	23.69999999999999
inclusion	N	cassette	NUTM2A-AS1	chr10:87330892-87331096	-	0.114	0.114	0.114	0.114	0.018	0.018	0.018	16.38	0.0019	-9.600000000000001
inclusion	N	alternative_last_exon	LAMC2	chr1:183240392-183243556,chr1:183240392-183243146	+	0.934	0.934	0.934	0.934	0.903	0.903	0.903	16.35	0.00193	-3.1000000000000085
inclusion	K	cassette	PSMG1	chr21:39179924-39179986	-	0.921	0.921	0.921	0.921	0.988	0.988	0.988	16.34	0.00194	6.699999999999989
inclusion	K	cassette	FBXO25	chr8:432886-432935	+	0.898	0.898	0.898	0.898	0.739	0.739	0.739	16.32	0.00195	-15.899999999999991
inclusion	K	intron_retention	TMEM41B	chr11:9281042-9283370	-	0.589	0.589	0.589	0.589	0.855	0.855	0.855	16.32	0.00195	26.6
inclusion	N	cassette	PCLAF	chr15:64376743-64376905	-	0.744	0.744	0.744	0.744	0.903	0.903	0.903	16.31	0.00195	15.899999999999991
inclusion	K	cassette	SETD5	chr3:9436850-9436888	+	0.183	0.183	0.183	0.183	0.058	0.058	0.058	16.29	0.00197	-12.5
inclusion	K	alternative_first_exon	BACH1	chr21:29305323-29321220	+	0.325	0.325	0.325	0.325	0.022	0.022	0.022	16.28	0.00198	-30.3
inclusion	K	cassette	CIAO2A	chr15:64081102-64081151	-	0.79	0.79	0.79	0.79	0.917	0.917	0.917	16.28	0.00198	12.700000000000003
inclusion	K	intron_retention	WDR54	chr2:74421817-74422119	+	0.181	0.181	0.181	0.181	0.443	0.443	0.443	16.25	0.002	26.2
inclusion	N	intron_retention	GOLGA2P7	chr15:84200179-84200199	.	0.96	0.96	0.96	0.96	0.559	0.559	0.559	16.23	0.00202	-40.099999999999994
inclusion	N	intron_retention	S100A6	chr1:153534828-153535201	-	0.272	0.272	0.272	0.272	0.514	0.514	0.514	16.18	0.00207	24.199999999999996
inclusion	N	intron_retention	CDV3	chr3:133586723-133587892	+	0.677	0.677	0.677	0.677	0.854	0.854	0.854	16.17	0.00208	17.69999999999999
inclusion	K	intron_retention	KRT8	chr12:52905028-52949455	-	0.859	0.859	0.859	0.859	0.943	0.943	0.943	16.17	0.00208	8.399999999999991
inclusion	K	intron_retention	SAT1	chrX:23784404-23785327	+	0.144	0.144	0.144	0.144	0.287	0.287	0.287	16.12	0.00211	14.3
inclusion	K	intron_retention	STUB1	chr16:680685-681208	+	0.928	0.928	0.928	0.928	0.76	0.76	0.76	16.12	0.00211	-16.80000000000001
inclusion	N	alternative_last_exon	EP400	chr12:131992231-131994866	+	0.929	0.929	0.929	0.929	0.731	0.731	0.731	16.12	0.00211	-19.80000000000001
inclusion	N	cassette	PARP12	chr7:140037715-140037856	-	0.86	0.86	0.86	0.86	0.974	0.974	0.974	16.13	0.00211	11.399999999999991
inclusion	K	cassette	NFIB	chr9:14102422-14102510	-	0.266	0.266	0.266	0.266	0.441	0.441	0.441	16.1	0.00213	17.5
inclusion	N	alternative_last_exon	YIPF6	chrX:68522918-68531880	+	0.951	0.951	0.951	0.951	0.742	0.742	0.742	16.08	0.00215	-20.89999999999999
inclusion	N	alternative_acceptor	NOP16	chr5:176384375-176385220	-	0.717	0.717	0.717	0.717	0.583	0.583	0.583	16.04	0.00219	-13.400000000000006
inclusion	K	alternative_last_exon	CLTCL1	chr22:19187729-19187980	-	0.689	0.689	0.689	0.689	0.412	0.412	0.412	16	0.00223	-27.699999999999996
inclusion	N	cassette	EAF1	chr3:15432087-15432223	+	0.914	0.914	0.914	0.914	0.736	0.736	0.736	15.98	0.00226	-17.80000000000001
inclusion	K	intron_retention	TMEM91	chr19:41382922-41383885	+	0.951	0.951	0.951	0.951	0.568	0.568	0.568	15.98	0.00226	-38.3
inclusion	K	cassette	ANXA11	chr10:80176107-80176155	-	0.736	0.736	0.736	0.736	0.857	0.857	0.857	15.95	0.00228	12.100000000000009
