inclusion_exclusion	contains_novel_or_only_known_junctions	as_event_type	gene_name	gene_coordinates	strand	W1D2.S24_wtdmso_b1	W1D3.S32_wtdmso_b1	W2D2.S22_wtdmso_b1	W2D3.S30_wtdmso_b1	M1D2.S28_mtdmso_b1	M1D3.S36_mtdmso_b1	M2D2.S26_mtdmso_b1	lr	padj	dpsi
inclusion	N	cassette	TRIM65	chr17:75891813-75891878	-	0.852	0.852	0.852	0.852	0.614	0.614	0.614	17.99	0.00102	-23.800000000000004
inclusion	K	alternative_last_exon	SNX5	chr20:17968454-17968699,chr20:17968458-17968699	-	0.717	0.717	0.717	0.717	0.962	0.962	0.962	17.93	0.00105	24.5
inclusion	K	alternative_last_exon	SURF4	chr9:133365027-133365984	-	0.804	0.804	0.804	0.804	0.937	0.937	0.937	17.91	0.00106	13.299999999999997
inclusion	K	coord_cassette	ITGB6	chr2:160196216-160196420	-	0.99	0.99	0.99	0.99	0.912	0.912	0.912	17.9	0.00106	-7.799999999999997
inclusion	K	alternative_acceptor	USP33	chr1:77721926-77722023	-	0.301	0.301	0.301	0.301	0.694	0.694	0.694	17.88	0.00106	39.3
inclusion	N	cassette	ITGB1BP1	chr2:9418626-9418732	-	0.847	0.847	0.847	0.847	0.955	0.955	0.955	17.8	0.00111	10.799999999999997
inclusion	N	cassette	PDGFC	chr4:156861429-156861489	-	0.156	0.156	0.156	0.156	0.366	0.366	0.366	17.77	0.00113	21.0
inclusion	K	cassette	MED24	chr17:40034916-40034972	-	0.068	0.068	0.068	0.068	0.23	0.23	0.23	17.76	0.00113	16.2
inclusion	K	alternative_last_exon	CTTN	chr11:70420511-70421469	+	0.747	0.747	0.747	0.747	0.584	0.584	0.584	17.74	0.00113	-16.300000000000004
inclusion	N	alternative_acceptor	KRT8	chr12:52905080-52949455	-	0.405	0.405	0.405	0.405	0.698	0.698	0.698	17.73	0.00114	29.299999999999997
inclusion	N	alternative_last_exon	TBX18	chr6:84737410-84738496	-	0.46	0.46	0.46	0.46	0.216	0.216	0.216	17.73	0.00114	-24.4
inclusion	N	alternative_first_exon	URGCP	chr7:43887486-43887789	-	0.826	0.826	0.826	0.826	0.543	0.543	0.543	17.72	0.00114	-28.29999999999999
inclusion	N	cassette	ANKHD1	chr5:140512828-140512923	+	0.991	0.991	0.991	0.991	0.856	0.856	0.856	17.7	0.00115	-13.5
inclusion	N	cassette	COL7A1	chr3:48589599-48589718	-	0.979	0.979	0.979	0.979	0.89	0.89	0.89	17.66	0.00117	-8.899999999999991
inclusion	K	alternative_last_exon	CLTCL1	chr22:19187729-19187980	-	0.689	0.689	0.689	0.689	0.409	0.409	0.409	17.6	0.00121	-27.999999999999993
inclusion	K	intron_retention	SMARCD3	chr7:151239747-151240111	-	0.111	0.111	0.111	0.111	0.025	0.025	0.025	17.54	0.00124	-8.6
inclusion	N	alternative_last_exon	CAST	chr5:96727531-96729152	+	0.816	0.816	0.816	0.816	0.918	0.918	0.918	17.53	0.00125	10.200000000000003
inclusion	N	cassette	CBX7	chr22:39138636-39138702	-	0.714	0.714	0.714	0.714	0.985	0.985	0.985	17.51	0.00126	27.10000000000001
inclusion	K	alternative_last_exon	ACSS2	chr20:34921867-34921962	+	0.134	0.134	0.134	0.134	0.051	0.051	0.051	17.48	0.00127	-8.3
inclusion	K	alternative_last_exon	TYK2	chr19:10353647-10354041	-	0.902	0.902	0.902	0.902	0.989	0.989	0.989	17.48	0.00127	8.700000000000003
inclusion	K	cassette	PHPT1	chr9:136850506-136850560	+	0.136	0.136	0.136	0.136	0.06	0.06	0.06	17.47	0.00127	-7.600000000000001
inclusion	N	alternative_donor	AC245041.2	chr10:47985988-47987930	-	0.581	0.581	0.581	0.581	0.166	0.166	0.166	17.46	0.00127	-41.49999999999999
inclusion	N	alternative_acceptor	nogene	chr5:150415729-150444237	.	0.7	0.7	0.7	0.7	0.057	0.057	0.057	17.46	0.00128	-64.3
inclusion	K	alternative_last_exon	DERL2	chr17:5478000-5480053	-	0.259	0.259	0.259	0.259	0.05	0.05	0.05	17.44	0.00128	-20.900000000000002
inclusion	K	cassette	RFC5	chr12:118017690-118017815	+	0.342	0.342	0.342	0.342	0.08	0.08	0.08	17.42	0.0013	-26.200000000000003
inclusion	K	alternative_donor	SNX5	chr20:17957038-17968374	-	0.628	0.628	0.628	0.628	0.944	0.944	0.944	17.41	0.0013	31.599999999999994
inclusion	N	alternative_first_exon	BCL2L1	chr20:31722331-31722617	-	0.348	0.348	0.348	0.348	0.545	0.545	0.545	17.4	0.0013	19.70000000000001
inclusion	K	alternative_last_exon	DKK3	chr11:11998780-12002299	-	0.803	0.803	0.803	0.803	0.654	0.654	0.654	17.39	0.00131	-14.900000000000006
inclusion	K	alternative_first_exon	SUPT5H	chr19:39458306-39458817	+	0.966	0.966	0.966	0.966	0.867	0.867	0.867	17.38	0.00131	-9.899999999999991
inclusion	K	intron_retention	ASXL1	chr20:32430054-32431320	+	0.072	0.072	0.072	0.072	0.003	0.003	0.003	17.36	0.00132	-6.8999999999999995
inclusion	K	alternative_acceptor	PML	chr15:74034531-74035171	+	0.669	0.669	0.669	0.669	0.813	0.813	0.813	17.35	0.00133	14.399999999999991
inclusion	K	alternative_last_exon	NDE1	chr16:15696861-15699728,chr16:15696861-15699596	+	0.404	0.404	0.404	0.404	0.214	0.214	0.214	17.32	0.00134	-19.000000000000007
inclusion	K	alternative_first_exon	EXTL3	chr8:28701660-28713456	+	0.94	0.94	0.94	0.94	0.748	0.748	0.748	17.3	0.00135	-19.200000000000003
inclusion	K	alternative_first_exon	TNKS1BP1	chr11:57310557-57311237	-	0.133	0.133	0.133	0.133	0.251	0.251	0.251	17.27	0.00138	11.8
inclusion	K	alternative_first_exon	NADSYN1	chr11:71480275-71480754	+	0.193	0.193	0.193	0.193	0.062	0.062	0.062	17.24	0.00139	-13.100000000000001
inclusion	K	alternative_acceptor	ANKHD1	chr5:140436258-140438460	+	0.862	0.862	0.862	0.862	0.612	0.612	0.612	17.23	0.00139	-25.000000000000007
inclusion	K	alternative_first_exon	FIP1L1	chr4:53440609-53442652	+	0.562	0.562	0.562	0.562	0.332	0.332	0.332	17.23	0.00139	-23.0
inclusion	K	intron_retention	AGPAT3	chr21:43981188-43982303	+	0.128	0.128	0.128	0.128	0.026	0.026	0.026	17.23	0.00139	-10.200000000000001
inclusion	K	intron_retention	PXN	chr12:120215274-120221622	-	0.161	0.161	0.161	0.161	0.074	0.074	0.074	17.21	0.0014	-8.700000000000003
inclusion	N	cassette	DPY19L4	chr8:94734630-94734754	+	0.557	0.557	0.557	0.557	0.939	0.939	0.939	17.22	0.0014	38.19999999999999
inclusion	N	cassette	NPRL3	chr16:130522-130591	-	0.827	0.827	0.827	0.827	0.94	0.94	0.94	17.22	0.0014	11.300000000000011
inclusion	N	intron_retention	nogene	chr17:7514053-7514124	-	0.988	0.988	0.988	0.988	0.874	0.874	0.874	17.2	0.0014	-11.399999999999991
inclusion	N	alternative_last_exon	SLC24A1	chr15:65650943-65652641,chr15:65650943-65651669	+	0.538	0.538	0.538	0.538	0.935	0.935	0.935	17.2	0.0014	39.699999999999996
inclusion	K	intron_retention	FDPS	chr1:155309077-155310063	+	0.182	0.182	0.182	0.182	0.063	0.063	0.063	17.19	0.00141	-11.899999999999999
inclusion	K	alternative_acceptor	GAS8	chr16:90027723-90031298	+	0.712	0.712	0.712	0.712	0.961	0.961	0.961	17.14	0.00143	24.89999999999999
inclusion	K	intron_retention	TMEM91	chr19:41382922-41383885	+	0.951	0.951	0.951	0.951	0.572	0.572	0.572	17.14	0.00143	-37.9
inclusion	K	intron_retention	SERINC2	chr1:31415908-31423692	+	0.512	0.512	0.512	0.512	0.122	0.122	0.122	17.12	0.00144	-39.0
inclusion	K	intron_retention	HYI	chr1:43452014-43452204	-	0.118	0.118	0.118	0.118	0.027	0.027	0.027	17.12	0.00145	-9.099999999999998
inclusion	K	cassette	ANKLE2	chr12:132733996-132734071	-	0.051	0.051	0.051	0.051	0.007	0.007	0.007	17.01	0.00152	-4.3999999999999995
inclusion	K	alternative_acceptor	EFNA4	chr1:155067441-155068852	+	0.857	0.857	0.857	0.857	0.662	0.662	0.662	16.98	0.00154	-19.5
inclusion	K	alternative_last_exon	MPPE1	chr18:11906310-11908200	-	0.741	0.741	0.741	0.741	0.974	0.974	0.974	16.99	0.00154	23.299999999999997
inclusion	N	alternative_acceptor	WDR13	chrX:48597615-48597957	+	0.655	0.655	0.655	0.655	0.796	0.796	0.796	16.98	0.00154	14.100000000000009
inclusion	N	cassette	MEMO1	chr2:31883386-31883462	-	0.863	0.863	0.863	0.863	0.974	0.974	0.974	16.98	0.00154	11.099999999999994
inclusion	K	alternative_last_exon	VRK3	chr19:49997571-50000789	-	0.812	0.812	0.812	0.812	0.952	0.952	0.952	16.97	0.00154	13.999999999999986
inclusion	K	cassette	VKORC1	chr16:31092783-31092864	-	0.069	0.069	0.069	0.069	0.019	0.019	0.019	16.95	0.00155	-5.0
inclusion	N	alternative_first_exon	ELOVL1	chr1:43365624-43367914	-	0.527	0.527	0.527	0.527	0.681	0.681	0.681	16.93	0.00157	15.400000000000006
inclusion	N	alternative_acceptor	MTA1	chr14:105464148-105464462	+	0.352	0.352	0.352	0.352	0.602	0.602	0.602	16.85	0.00163	25.0
inclusion	K	cassette	SETD5	chr3:9434590-9434630	+	0.377	0.377	0.377	0.377	0.159	0.159	0.159	16.85	0.00163	-21.800000000000004
inclusion	N	alternative_last_exon	UBE2A	chrX:119575401-119581506	+	0.66	0.66	0.66	0.66	0.817	0.817	0.817	16.85	0.00163	15.699999999999989
inclusion	K	intron_retention	SDC1	chr2:20205425-20223202	-	0.482	0.482	0.482	0.482	0.03	0.03	0.03	16.84	0.00163	-45.199999999999996
inclusion	N	alternative_donor	TLN1	chr9:35725728-35732074	-	0.745	0.745	0.745	0.745	0.883	0.883	0.883	16.84	0.00163	13.799999999999997
inclusion	N	intron_retention	ALS2CL	chr3:46674740-46675533	.	0.965	0.965	0.965	0.965	0.769	0.769	0.769	16.82	0.00164	-19.599999999999994
inclusion	K	intron_retention	EFNA4	chr1:155067441-155069018	+	0.813	0.813	0.813	0.813	0.57	0.57	0.57	16.81	0.00164	-24.300000000000004
inclusion	K	cassette	FAM104A	chr17:73212678-73212740	-	0.165	0.165	0.165	0.165	0.356	0.356	0.356	16.78	0.00166	19.1
inclusion	N	alternative_first_exon	AP005263.1	chr18:9102798-9117837,chr18:9103434-9117837	+	0.932	0.932	0.932	0.932	0.989	0.989	0.989	16.78	0.00166	5.700000000000003
inclusion	N	cassette	EI24	chr11:125570104-125570190	+	0.032	0.032	0.032	0.032	0.095	0.095	0.095	16.79	0.00166	6.3
inclusion	K	intron_retention	MFSD12	chr19:3538757-3542775	-	0.459	0.459	0.459	0.459	0.902	0.902	0.902	16.77	0.00167	44.300000000000004
inclusion	N	alternative_first_exon	AL162258.1	chr1:153626534-153632033	-	0.048	0.048	0.048	0.048	0.002	0.002	0.002	16.72	0.00171	-4.6
inclusion	K	cassette	ARFGAP2	chr11:47172710-47172751	-	0.485	0.485	0.485	0.485	0.694	0.694	0.694	16.72	0.00171	20.89999999999999
inclusion	N	alternative_first_exon	TSFM	chr12:57782859-57783109	+	0.771	0.771	0.771	0.771	0.986	0.986	0.986	16.71	0.00171	21.499999999999986
inclusion	K	intron_retention	PCK2	chr14:24103256-24103841	+	0.903	0.903	0.903	0.903	0.769	0.769	0.769	16.68	0.00173	-13.399999999999991
inclusion	N	cassette	PHKA2	chrX:18899173-18899226	-	0.768	0.768	0.768	0.768	0.514	0.514	0.514	16.66	0.00174	-25.4
inclusion	K	alternative_last_exon	SCARB1	chr12:124782812-124786356	-	0.781	0.781	0.781	0.781	0.592	0.592	0.592	16.63	0.00177	-18.900000000000013
inclusion	N	cassette	SLC35F2	chr11:107804718-107804770	-	0.99	0.99	0.99	0.99	0.807	0.807	0.807	16.62	0.00177	-18.299999999999997
inclusion	K	cassette	PHF21A	chr11:45935121-45935246	-	0.243	0.243	0.243	0.243	0.078	0.078	0.078	16.62	0.00178	-16.5
inclusion	K	intron_retention	STAP2	chr19:4324530-4325215	-	0.266	0.266	0.266	0.266	0.105	0.105	0.105	16.59	0.00179	-16.1
inclusion	N	cassette	C3orf18	chr3:50565466-50565861	-	0.894	0.894	0.894	0.894	0.43	0.43	0.43	16.59	0.00179	-46.400000000000006
inclusion	N	cassette	XPO6	chr16:28177220-28177332	-	0.818	0.818	0.818	0.818	0.926	0.926	0.926	16.59	0.00179	10.800000000000011
inclusion	K	intron_retention	ZNF496	chr1:247329569-247329965	-	0.881	0.881	0.881	0.881	0.447	0.447	0.447	16.58	0.00179	-43.39999999999999
inclusion	N	alternative_last_exon	METTL23	chr17:76733378-76733520	+	0.469	0.469	0.469	0.469	0.663	0.663	0.663	16.58	0.0018	19.4
inclusion	K	alternative_last_exon	AC019257.8	chr8:1925405-1926376	+	0.639	0.639	0.639	0.639	0.304	0.304	0.304	16.56	0.00181	-33.5
inclusion	K	intron_retention	ADAR	chr1:154589929-154590261	-	0.59	0.59	0.59	0.59	0.384	0.384	0.384	16.54	0.00182	-20.6
inclusion	K	intron_retention	C2orf49	chr2:105342975-105343100	+	0.313	0.313	0.313	0.313	0.514	0.514	0.514	16.54	0.00182	20.099999999999998
inclusion	K	intron_retention	TPTEP2-CSNK1E	chr22:38297156-38298785	-	0.698	0.698	0.698	0.698	0.894	0.894	0.894	16.51	0.00184	19.60000000000001
inclusion	N	alternative_acceptor	nogene	chr10:114281772-114296977	-	0.234	0.234	0.234	0.234	0.701	0.701	0.701	16.51	0.00184	46.69999999999999
inclusion	N	alternative_acceptor	AFAP1L2	chr10:114296069-114296977	-	0.766	0.766	0.766	0.766	0.299	0.299	0.299	16.5	0.00185	-46.699999999999996
inclusion	N	alternative_last_exon	ZNF384	chr12:6678711-6678945	-	0.736	0.736	0.736	0.736	0.882	0.882	0.882	16.48	0.00186	14.600000000000009
inclusion	N	alternative_last_exon	MECP2	chrX:154032558-154097603	-	0.733	0.733	0.733	0.733	0.892	0.892	0.892	16.42	0.00192	15.900000000000006
inclusion	K	alternative_last_exon	NIPAL3	chr1:24464121-24466003	+	0.189	0.189	0.189	0.189	0.076	0.076	0.076	16.4	0.00193	-11.299999999999999
inclusion	K	cassette	DENND1A	chr9:123450693-123450749	-	0.956	0.956	0.956	0.956	0.683	0.683	0.683	16.4	0.00193	-27.299999999999983
inclusion	K	alternative_acceptor	ARRB2	chr17:4716034-4716146	+	0.947	0.947	0.947	0.947	0.749	0.749	0.749	16.39	0.00193	-19.799999999999983
inclusion	K	intron_retention	ATXN2	chr12:111510445-111513356	-	0.787	0.787	0.787	0.787	0.437	0.437	0.437	16.39	0.00193	-35.0
inclusion	N	alternative_acceptor	CRELD1	chr3:9943516-9943901	+	0.693	0.693	0.693	0.693	0.403	0.403	0.403	16.39	0.00193	-28.999999999999993
inclusion	K	alternative_acceptor	KANSL3	chr2:96631544-96636920	-	0.604	0.604	0.604	0.604	0.318	0.318	0.318	16.36	0.00196	-28.599999999999998
inclusion	K	alternative_acceptor	RNF216	chr7:5741816-5752845	-	0.462	0.462	0.462	0.462	0.201	0.201	0.201	16.35	0.00196	-26.1
inclusion	K	alternative_last_exon	GTF3C5	chr9:133054810-133054943	+	0.135	0.135	0.135	0.135	0.044	0.044	0.044	16.35	0.00196	-9.100000000000001
inclusion	N	alternative_first_exon	TPM4	chr19:16076173-16081912	+	0.436	0.436	0.436	0.436	0.571	0.571	0.571	16.36	0.00196	13.499999999999993
inclusion	K	intron_retention	BBS1	chr11:66519749-66521269	+	0.444	0.444	0.444	0.444	0.206	0.206	0.206	16.34	0.00196	-23.8
inclusion	K	alternative_first_exon	GTF3A	chr13:27429390-27429869	+	0.078	0.078	0.078	0.078	0.017	0.017	0.017	16.32	0.00198	-6.1
inclusion	K	alternative_first_exon	TFDP2	chr3:141995142-142005440	-	0.842	0.842	0.842	0.842	0.968	0.968	0.968	16.31	0.00199	12.599999999999994
inclusion	N	alternative_acceptor	MKNK2	chr19:2039857-2040133	-	0.673	0.673	0.673	0.673	0.789	0.789	0.789	16.26	0.00204	11.599999999999994
inclusion	K	alternative_first_exon	CCDC85C	chr14:99536089-99603166	-	0.963	0.963	0.963	0.963	0.78	0.78	0.78	16.24	0.00205	-18.299999999999997
inclusion	N	alternative_donor	ALS2CL	chr3:46674740-46675617	-	0.792	0.792	0.792	0.792	0.918	0.918	0.918	16.24	0.00205	12.599999999999994
inclusion	K	intron_retention	HYI	chr1:43451848-43451934	-	0.115	0.115	0.115	0.115	0.021	0.021	0.021	16.23	0.00205	-9.4
inclusion	K	alternative_acceptor	CPSF4	chr7:99452441-99453965	+	0.444	0.444	0.444	0.444	0.227	0.227	0.227	16.23	0.00206	-21.7
inclusion	K	intron_retention	ANAPC5	chr12:121328459-121330582	-	0.359	0.359	0.359	0.359	0.16	0.16	0.16	16.21	0.00207	-19.9
inclusion	N	alternative_donor	TINAGL1	chr1:31585877-31586709	+	0.862	0.862	0.862	0.862	0.947	0.947	0.947	16.2	0.00208	8.499999999999986
inclusion	N	alternative_first_exon	TM7SF3	chr12:26975659-26976259	-	0.788	0.788	0.788	0.788	0.898	0.898	0.898	16.19	0.00209	11.0
inclusion	K	intron_retention	INO80B-WBP1	chr2:74455175-74455405	+	0.046	0.046	0.046	0.046	0.006	0.006	0.006	16.16	0.00211	-3.9999999999999996
inclusion	N	cassette	STAU1	chr20:49158939-49159146	-	0.094	0.094	0.094	0.094	0.027	0.027	0.027	16.15	0.00212	-6.7
inclusion	N	cassette	SENP6	chr6:75622751-75622858	+	0.184	0.184	0.184	0.184	0.023	0.023	0.023	16.14	0.00213	-16.099999999999998
inclusion	N	cassette	COL27A1	chr9:114250615-114250668	+	0.876	0.876	0.876	0.876	0.443	0.443	0.443	16.12	0.00215	-43.3
inclusion	K	alternative_last_exon	TAOK2	chr16:29986505-29986843	+	0.541	0.541	0.541	0.541	0.342	0.342	0.342	16.11	0.00215	-19.9
inclusion	K	alternative_last_exon	TMEM129	chr4:1717676-1718151,chr4:1717704-1718151	-	0.528	0.528	0.528	0.528	0.747	0.747	0.747	16.09	0.00218	21.9
inclusion	K	alternative_first_exon	TMPO	chr12:98544350-98544441	+	0.891	0.891	0.891	0.891	0.677	0.677	0.677	16.08	0.00218	-21.39999999999999
inclusion	K	alternative_last_exon	LETMD1	chr12:51049186-51052091,chr12:51049186-51052087	+	0.686	0.686	0.686	0.686	0.854	0.854	0.854	16.07	0.00218	16.799999999999983
inclusion	K	intron_retention	VEGFB	chr11:64237223-64237520	+	0.723	0.723	0.723	0.723	0.552	0.552	0.552	16.08	0.00218	-17.099999999999994
inclusion	N	cassette	ITGB1BP1	chr2:9414178-9414256	-	0.903	0.903	0.903	0.903	0.981	0.981	0.981	16.06	0.00219	7.799999999999997
inclusion	K	cassette	SEPTIN6	chrX:119625335-119625379	-	0.094	0.094	0.094	0.094	0.351	0.351	0.351	16.05	0.00219	25.699999999999996
inclusion	K	alternative_first_exon	LRP5	chr11:68447158-68448808	+	0.062	0.062	0.062	0.062	0.008	0.008	0.008	16.04	0.00221	-5.4
inclusion	K	alternative_last_exon	PRPF40A	chr2:152679110-152679351	-	0.846	0.846	0.846	0.846	0.624	0.624	0.624	15.99	0.00226	-22.199999999999996
inclusion	K	intron_retention	ERCC1	chr19:45409726-45413676	-	0.241	0.241	0.241	0.241	0.132	0.132	0.132	15.99	0.00226	-10.899999999999997
inclusion	K	alternative_last_exon	ST7	chr7:117222063-117222860	+	0.62	0.62	0.62	0.62	0.437	0.437	0.437	15.96	0.00229	-18.299999999999997
inclusion	N	intron_retention	NIT1	chr1:161118552-161118785	+	0.733	0.733	0.733	0.733	0.944	0.944	0.944	15.94	0.00231	21.099999999999994
inclusion	N	alternative_last_exon	RPS3	chr11:75399578-75400693	+	0.99	0.99	0.99	0.99	0.998	0.998	0.998	15.93	0.00232	0.7999999999999972
inclusion	K	intron_retention	TCF25	chr16:89904206-89904751	+	0.696	0.696	0.696	0.696	0.149	0.149	0.149	15.92	0.00232	-54.699999999999996
inclusion	K	alternative_last_exon	URGCP-MRPS24	chr7:43887486-43906561	-	0.292	0.292	0.292	0.292	0.625	0.625	0.625	15.91	0.00233	33.3
inclusion	K	alternative_last_exon	URGCP	chr7:43887812-43906561,chr7:43887817-43906561	-	0.708	0.708	0.708	0.708	0.375	0.375	0.375	15.9	0.00233	-33.3
inclusion	N	cassette	DELE1	chr5:141938856-141938904	+	0.065	0.065	0.065	0.065	0.191	0.191	0.191	15.91	0.00233	12.600000000000001
inclusion	N	coord_cassette	SLC35F2	chr11:107804718-107804770	-	0.993	0.993	0.993	0.993	0.87	0.87	0.87	15.9	0.00233	-12.299999999999997
inclusion	K	cassette	COL16A1	chr1:31679804-31679851	-	0.675	0.675	0.675	0.675	0.503	0.503	0.503	15.9	0.00233	-17.200000000000003
inclusion	K	alternative_last_exon	ELMOD3	chr2:85377475-85387097	+	0.169	0.169	0.169	0.169	0.02	0.02	0.02	15.88	0.00234	-14.900000000000002
inclusion	N	alternative_last_exon	ZFP41	chr8:143251341-143259774	+	0.398	0.398	0.398	0.398	0.771	0.771	0.771	15.87	0.00236	37.300000000000004
inclusion	K	alternative_acceptor	ADGRG1	chr16:57650352-57651199	+	0.906	0.906	0.906	0.906	0.97	0.97	0.97	15.83	0.00241	6.3999999999999915
inclusion	N	intron_retention	EIF1	chr17:41689070-41689776	+	0.858	0.858	0.858	0.858	0.506	0.506	0.506	15.79	0.00245	-35.199999999999996
inclusion	K	cassette	DNAJC19	chr3:180986943-180987022	-	0.734	0.734	0.734	0.734	0.877	0.877	0.877	15.74	0.0025	14.299999999999997
inclusion	N	cassette	ARNTL2	chr12:27387228-27387320	+	0.766	0.766	0.766	0.766	0.381	0.381	0.381	15.75	0.0025	-38.49999999999999
inclusion	N	alternative_acceptor	RGS12	chr4:3430956-3439454	+	0.321	0.321	0.321	0.321	0.582	0.582	0.582	15.73	0.00251	26.099999999999994
inclusion	K	cassette	MTRR	chr5:7873373-7873526	+	0.615	0.615	0.615	0.615	0.275	0.275	0.275	15.72	0.00252	-34.0
inclusion	K	intron_retention	TPT1	chr13:45340185-45341041	-	0.063	0.063	0.063	0.063	0.012	0.012	0.012	15.71	0.00253	-5.1
inclusion	K	alternative_last_exon	BAG6	chr6:31648965-31649198	-	0.894	0.894	0.894	0.894	0.958	0.958	0.958	15.68	0.00255	6.3999999999999915
inclusion	K	intron_retention	TIMM10B	chr11:6482290-6482839	+	0.831	0.831	0.831	0.831	0.988	0.988	0.988	15.69	0.00255	15.700000000000003
inclusion	N	alternative_donor	SOX15	chr17:7589739-7589850	-	0.991	0.991	0.991	0.991	0.883	0.883	0.883	15.68	0.00255	-10.799999999999997
inclusion	N	alternative_acceptor	RTKN	chr2:74426575-74427168	-	0.944	0.944	0.944	0.944	0.99	0.99	0.99	15.67	0.00256	4.6000000000000085
inclusion	N	cassette	PKP4	chr2:158678581-158678654	+	0.908	0.908	0.908	0.908	0.99	0.99	0.99	15.6	0.00266	8.200000000000003
inclusion	N	cassette	WNK1	chr12:871265-871348	+	0.289	0.289	0.289	0.289	0.457	0.457	0.457	15.59	0.00267	16.800000000000004
inclusion	K	cassette	KDM5A	chr12:286126-286207	-	0.189	0.189	0.189	0.189	0.058	0.058	0.058	15.54	0.00273	-13.099999999999998
inclusion	K	intron_retention	ALS2CL	chr3:46671585-46671883	-	0.093	0.093	0.093	0.093	0.028	0.028	0.028	15.54	0.00273	-6.5
inclusion	K	intron_retention	MED12	chrX:71137781-71137855	+	0.595	0.595	0.595	0.595	0.886	0.886	0.886	15.53	0.00274	29.099999999999994
inclusion	K	cassette	ADA	chr20:44622588-44622652	-	0.972	0.972	0.972	0.972	0.999	0.999	0.999	15.5	0.00277	2.700000000000003
inclusion	K	cassette	DNAAF2	chr14:49628012-49628155	-	0.586	0.586	0.586	0.586	0.313	0.313	0.313	15.45	0.00284	-27.299999999999994
inclusion	K	alternative_last_exon	GLS	chr2:190931638-190932715,chr2:190931638-190932656	+	0.808	0.808	0.808	0.808	0.551	0.551	0.551	15.43	0.00286	-25.70000000000001
inclusion	K	cassette	ZNF532	chr18:58954234-58954334	+	0.126	0.126	0.126	0.126	0.018	0.018	0.018	15.44	0.00286	-10.8
inclusion	K	intron_retention	SSR1	chr6:7269155-7289867	-	0.653	0.653	0.653	0.653	0.425	0.425	0.425	15.42	0.00287	-22.799999999999997
inclusion	N	alternative_first_exon	SLC24A1	chr15:65652809-65654729	+	0.581	0.581	0.581	0.581	0.919	0.919	0.919	15.42	0.00287	33.80000000000001
inclusion	N	cassette	MICAL2	chr11:12209497-12209598	+	0.749	0.749	0.749	0.749	0.567	0.567	0.567	15.42	0.00287	-18.20000000000001
inclusion	K	mutually_exclusive	SEC16A	chr9:136443901-136445051,chr9:136445112-136446854	-	0.427	0.427	0.427	0.427	0.18	0.18	0.18	15.39	0.00291	-24.699999999999996
inclusion	K	intron_retention	WDR6	chr3:49007532-49011634	+	0.075	0.075	0.075	0.075	0.165	0.165	0.165	15.37	0.00294	9.0
inclusion	N	cassette	CTNND1	chr11:57794010-57794081	+	0.794	0.794	0.794	0.794	0.899	0.899	0.899	15.31	0.00302	10.5
inclusion	K	alternative_acceptor	PIH1D1	chr19:49450940-49451484	-	0.07	0.07	0.07	0.07	0.014	0.014	0.014	15.29	0.00305	-5.6000000000000005
inclusion	N	alternative_last_exon	VTI1A	chr10:112668999-112815289	+	0.867	0.867	0.867	0.867	0.614	0.614	0.614	15.28	0.00306	-25.300000000000004
inclusion	K	cassette	DONSON	chr21:33582165-33582246	-	0.927	0.927	0.927	0.927	0.442	0.442	0.442	15.24	0.00311	-48.5
inclusion	N	alternative_acceptor	RETREG2	chr2:219182309-219182378	+	0.757	0.757	0.757	0.757	0.895	0.895	0.895	15.24	0.00311	13.799999999999997
inclusion	N	intron_retention	ZC3H12A	chr1:37474630-37475461	+	0.449	0.449	0.449	0.449	0.17	0.17	0.17	15.18	0.00321	-27.9
inclusion	K	alternative_last_exon	VPS35	chr16:46682176-46683507	-	0.894	0.894	0.894	0.894	0.981	0.981	0.981	15.18	0.00321	8.699999999999989
inclusion	K	cassette	RHOC	chr1:112705100-112705123	-	0.334	0.334	0.334	0.334	0.489	0.489	0.489	15.17	0.00322	15.5
inclusion	K	intron_retention	RAB34	chr17:28717292-28718121	-	0.784	0.784	0.784	0.784	0.632	0.632	0.632	15.17	0.00322	-15.200000000000003
inclusion	N	alternative_acceptor	MLX	chr17:42567656-42568836	+	0.343	0.343	0.343	0.343	0.19	0.19	0.19	15.15	0.00323	-15.300000000000004
inclusion	N	alternative_last_exon	nogene	chr11:66253027-66284579	.	0.406	0.406	0.406	0.406	0.243	0.243	0.243	15.15	0.00323	-16.3
inclusion	N	alternative_last_exon	RIPK2	chr8:89758234-89762828	.	0.384	0.384	0.384	0.384	0.066	0.066	0.066	15.15	0.00324	-31.799999999999997
inclusion	N	cassette	SPTAN1	chr9:128603543-128603590	+	0.974	0.974	0.974	0.974	0.914	0.914	0.914	15.14	0.00324	-5.999999999999986
inclusion	K	cassette	C14orf93	chr14:23000959-23001060	-	0.024	0.024	0.024	0.024	0.186	0.186	0.186	15.11	0.00329	16.200000000000003
inclusion	K	alternative_last_exon	SLC44A1	chr9:105385503-105389903,chr9:105385503-105389032	+	0.858	0.858	0.858	0.858	0.628	0.628	0.628	15.1	0.0033	-23.0
inclusion	K	intron_retention	KLC1	chr14:103685037-103685637	+	0.61	0.61	0.61	0.61	0.344	0.344	0.344	15.1	0.0033	-26.6
inclusion	K	alternative_acceptor	TPT1	chr13:45340185-45341041	-	0.029	0.029	0.029	0.029	0.058	0.058	0.058	15.07	0.00334	2.9000000000000004
